	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20	Sample21	Sample22	Sample23	Sample24	Sample25	Sample26	Sample27	Sample28	Sample29	Sample30	Sample31	Sample32	Sample33	Sample34	Sample35	Sample36	Sample37	Sample38	Sample39	Sample40	Sample41	Sample42	Sample43	Sample44	Sample45	Sample46	Sample47	Sample48	Sample49	Sample50
AACS	7222.25384906492	2248.30682616415	3605.89234697184	7236.44277044804	2909.486281056	4492.01286434505	3282.10100571547	5810.91967320727	2458.74551380915	5372.75478622066	4964.79424752783	3190.23777854819	4652.86071747949	3683.63210383753	5950.9022828186	3977.83960529556	4970.95834400394	8551.83976788191	3962.44169286797	4276.04700812608	4821.03311862518	3144.51516867767	3528.45972478907	3458.10157156003	4753.59885528584	4067.15315342345	5090.62419231716	4837.13976204979	3635.26998703975	4241.06352013375	3606.7259762309	4481.23561820397	3832.97372568333	4792.00407573971	5223.50414656748	5741.46285274563	4487.63250100442	3446.56562423049	8525.47036424785	3857.32755109579	4270.06827194495	3436.25670692985	2693.21911611089	4302.02906226105	3944.58385502663	2245.46454937208	3696.29871829599	5308.73574165036	4264.6047726124	3839.0782954678
AADAT	2609.13820685208	5190.76828318796	3493.61775683977	2423.09301474877	1502.83253230343	3389.09214997602	3590.63136040514	1770.31342377428	2610.64270580878	3050.43956375795	2573.49585006286	1868.91344049301	3011.57531072202	3464.78587770059	2661.69488494537	3308.48645433456	4103.61646084708	3385.74219987299	2832.11817714071	4074.90674710662	2636.50471493928	2331.9612656981	2885.35293491362	3428.95420119494	2522.82033382366	2683.80114393655	2802.9713481901	4609.00739333713	2875.60931880921	2603.27261822989	5330.8408106961	4198.02449280058	3627.55102191578	3432.19102087896	2720.11164358662	1063.68334031027	1864.66245279229	3364.6092095543	3239.12094486709	2150.83348559468	2977.5505734263	4518.37751623271	4763.32404278827	2665.21891244054	3582.43712019985	3945.10061499631	1659.81943363704	2082.50498114283	3501.53334850763	4201.10720978758
AAK1	25376.9139037896	23977.5588656216	20180.4117497635	26004.7947702148	18656.3349053254	17432.7435684755	24894.8509051115	26489.5190478752	21713.3976942094	18424.6715593774	17346.3340231859	29509.9434622662	17268.1950271517	23625.6254291463	18659.6450087158	16696.5610937156	24537.8976969958	24246.6862005728	22917.7476092225	21131.106303866	20357.6154693555	17763.93388328	24779.026558859	23331.3943170596	23998.3557392851	21828.0193304086	20943.110858163	23002.8110422958	20449.9640927176	21625.2724769632	28511.2174660441	27780.3517773688	20824.3841664615	22920.6517221581	19867.3235054563	34543.7322814578	31064.0499578144	20858.2115242551	18018.1800241709	25520.3897894607	25557.5943525059	23927.5320186239	25333.0196233427	24377.8585785845	20920.8096211395	23214.8161037922	21394.9847993105	21086.7030442333	16884.0878567309	22156.8470742234
AASDH	4930.93799979588	6652.52689292565	6682.60186368408	6102.603047603	5450.36461436773	7545.31798494019	5887.23302879444	4376.90482471261	6659.70646611218	7009.62734418538	6236.48744488653	5207.81965020283	6622.36003188222	5783.17173004769	6458.92682109346	5003.02516851566	8750.9734144915	6489.76959589938	5825.4082905429	6426.08926372814	5473.02365375394	5515.69229253878	4728.5804700683	5384.48921000791	5468.94667059254	6936.75121852279	7954.08924156612	6288.8895920275	5105.62943584028	6664.14453142213	4993.49349533107	6841.26041041875	6138.74727899532	6319.97081694942	6028.4661000823	2873.96213001724	4993.08061872238	4954.81162275302	7700.34050570899	4583.1382491997	5829.40422776345	6180.6294526562	6407.32177430695	7294.5320302233	8394.54755930935	5763.32253416646	7261.31135742428	5744.2965340401	7698.81150181767	5933.20420171334
AASS	46579.5651002151	63113.8409017419	70178.4754960536	97990.1942482406	104605.171708031	64104.894060317	58805.3570537786	30809.879867287	42002.9575896849	102830.101497557	149008.362058088	66387.3307813735	64369.2129187781	61781.347057537	63426.1604536412	52313.323933501	70761.9162663137	113731.779346544	67067.0054525072	41533.4805220389	73823.6752284244	62054.3578059591	41046.1877902772	37338.1273723091	77673.0024376612	62384.6003347633	121790.695688254	54472.7943426885	69618.1955469874	40120.8633827551	99298.0446731749	54951.8804087015	49442.2454075351	52719.8555834057	87520.6377691196	38707.1490248707	35226.5395701085	42379.4128293524	109446.984101919	61370.0581310022	31468.8796075636	49309.4544340258	35121.15580454	41118.3113522726	58197.5975486009	64684.1603687515	63389.3735693179	80942.3525736466	91415.6448218937	60599.0895397815
AATK	2738.60965247087	2326.36881277622	2095.69839292889	3521.31406187224	2616.77042989152	2552.08991562877	2331.23918240257	1576.90474085978	2276.78976496585	2847.80138609883	2794.1061671354	1685.32032944958	2828.14475693049	2285.52166532744	2470.39175371635	2288.72579349136	2436.01965648855	2239.91279630374	2093.1030735235	2531.42900763359	2500.76986741663	2032.78091603053	1229.45745279229	2306.42961028525	2804.86726597027	2401.09839292889	2854.41984732824	1906.32128364805	1460.02997187626	2139.71333869024	1369.12236842105	1789.90034150261	1495.94198473282	2055.19644435516	1841.70864805143	1325.21374045802	1709.28117717959	2140.13740458015	2829.90464041784	1446.47633587786	1600.87730012053	1618.48955403777	1517.73908196063	1408.67161510647	2012.08986540779	1428.6891221374	1630.91106870229	2257.39985938128	3749.3878565689	3155.01390116513
ABCA2	374.040322580645	362.640322580645	299.351612903226	279.70564516129	206.293548387097	330.21935483871	421.703225806452	166.176612903226	385.133870967742	371.812903225806	230.712096774194	377.200806451613	356.325806451613	544.306451612903	314.891935483871	318.747580645161	288.528225806452	292.882258064516	355.843548387097	262.103225806452	438.982258064516	374.804838709677	288.075	547.301612903226	187.150806451613	424.058870967742	215.234677419355	453.567741935484	314.867741935484	488.151612903226	60.1548387096774	247.013709677419	566.703225806452	360.414516129032	238.100806451613	68.0604838709677	299.775	527.338709677419	232.726612903226	173.634677419355	367.658870967742	265.893548387097	313.8	398.095967741935	340.895161290323	212.923387096774	170.329838709677	442.770967741935	377.679032258065	397.477419354839
ABCA4	248.949567224821	236.797429820241	501.052893376016	203.812989411475	209.360334892884	1743.41029303127	826.401683698596	73.3210613149471	847.582993720758	215.061314947057	252.598150701798	751.231866535336	206.829500123122	1494.4227376262	188.606086555036	102.172835508495	306.844660797833	206.546417138636	743.689647869983	91.4691455306575	256.743363703521	1254.87165722728	1005.43519083969	818.043504063039	136.383984855947	290.508699827629	140.44644422556	223.748525609456	363.725796601822	200.900984979069	31.2463709677419	256.706502093081	828.629450874169	769.614284658951	219.165206229993	143.975180989904	187.112900763359	1390.03890667323	723.716786505787	231.746596897316	1833.27098990396	312.625258557006	806.944828244275	824.494713124846	283.196300787983	175.751247845358	238.887954937208	789.434789460724	289.057901378971	103.749569071657
ABCA8	10278.0603368369	4373.54224523387	3697.82303814202	5214.86938399927	3108.50841794217	5114.64262885729	5574.27184968701	5021.69655361008	8320.15607900569	5445.09045218315	5114.60094596871	2255.25372879379	5347.48548451898	2314.24038478985	6427.44982736946	11903.1563668529	7094.86015020931	7142.81365556837	6056.20690729532	12000.9848066979	5048.02390064672	6959.65583600098	2687.48574126155	5727.43519965266	4804.55119363911	3783.56400588395	3152.3970918493	7958.20972731632	2704.95904832878	8395.27878342125	5271.44643463497	5024.8863947174	2530.89167692687	3390.96968156663	2701.90183244988	1642.12592711155	2527.82789875452	2679.92378724452	3428.82089671976	1405.2305269638	4247.2660589173	2012.8174898586	1864.1890960225	2389.80949182856	6640.35657460568	1984.98981039153	3696.25003447427	6739.23620938581	4070.84795292837	10414.4252362006
ABCB1	2668.84570450304	2669.25177320533	1603.50428336293	3039.89316573569	6685.30849129719	1871.65308777978	1340.81522351573	15981.4270414987	1105.75580789344	1970.48360398657	1904.96771582058	13005.4525896525	1568.51377285864	1225.21352507485	2961.1915959415	2823.25617137988	1269.12952443979	2174.16770823883	2294.65120322969	764.184782073381	2105.71660337744	946.193203644423	3942.9697730012	1653.46003065099	8693.02666207118	1469.28992852422	2637.67484240335	1428.3933730187	2159.73092173304	2579.46444808772	2833.0328204584	1997.83453333377	1002.80462940163	2981.40153339209	3580.153946121	15120.5653127309	12481.3351285657	1637.0128047279	3757.81549469278	6614.30476606747	1077.47509927552	1268.41050314934	2651.64061219365	1011.73529199445	3519.65058050584	2505.79719865797	4604.75005478946	5482.26525382651	2215.88932180627	1443.24762633005
ABCB10	2471.67475589367	1322.30139711505	1184.18745966122	1655.50327635143	1250.87248357288	2053.64421259996	2847.81292655426	604.320219805855	1596.48860145932	2075.68033217123	3079.71409129201	1355.4508933501	3773.12860327376	1541.72010782929	2837.97073303179	943.177078889047	1250.95798079291	2336.18420728625	1321.02253178502	3600.03538537306	2025.45196542205	1751.3526963802	1087.03928485335	2641.53653961301	3548.17916574865	1498.54100804832	1770.35745382911	1442.68632304721	1378.83581280214	907.684084811882	1501.97640067912	2018.93572933812	1412.28729377001	1963.46918998432	1523.65627302065	282.487865057868	761.881024507834	1502.58187638513	1964.95508119597	1080.52340802758	2105.98189997278	1837.6168748947	1780.26843310566	1777.36963529854	1933.78148200469	2686.80681113026	1567.49330706722	2418.28261239778	1780.20193561347	2932.15169973691
ABCB4	234.469533787374	967.326556688137	449.096277815938	360.950311046022	538.387640845527	286.061159424046	341.671638596923	58.2971094752394	356.113633049936	333.585791028914	367.189122591013	173.198375950958	407.120437019661	272.370421629363	347.266303768841	347.333773312251	388.16351083477	471.856412084138	150.154860612501	92.7723467126324	311.615692919815	135.463863580399	186.047906789875	274.926000596172	639.067167634365	192.244019751422	367.338872198966	283.155505352584	302.369096152102	598.24089412771	1806.72608234295	279.376113544758	180.64562915538	461.331442087119	429.273981615884	105.455050480177	271.130920048212	296.966633834031	500.290102645187	121.59551342034	173.282585440454	570.442741287471	640.537857573323	161.224902085304	779.089349557407	1013.52827320857	451.860313962078	150.693222695991	314.825341988621	87.4283259243899
ABCB8	1376.14625547571	2417.8630112009	1938.38175196672	1429.67499287186	1136.93907489729	1650.10484842987	3391.34067599049	835.613670407859	1520.87148445094	1316.46251312225	2654.64147844062	618.91422471779	2188.13723998497	1930.11757887933	2008.35148574696	2037.37909061159	1948.89009141837	2004.32433222307	1960.7852219443	1192.02292538784	2758.23849453725	3536.96072395962	1906.94381880273	1884.08444581967	1126.62770553338	2454.97707454736	1669.14423417877	869.362035294003	1319.36322904651	1192.90145867624	1108.67677207131	2600.35847448127	1619.84124599852	1884.45752945217	1483.14888271297	407.861988426496	1181.1706247489	2056.62472297464	2059.17349764771	586.773394484117	1753.75079491699	1562.06646842883	2751.01647097228	2636.20688766055	1759.34327011431	2078.4990239473	993.086086555036	1492.98646781322	1827.95465362109	1595.51268419757
ABCB9	287.021023454814	606.2729700197	442.266806205368	504.180768283674	806.844072888451	450.081063777395	170.5250723344	46.1127604038414	162.846298633342	851.610403841418	1193.0988327998	402.388288598867	741.873479438562	401.259066424526	493.769795309037	125.458970081261	789.027896761881	634.548337847821	270.638805712879	55.5526963802019	464.008261511943	212.583243043585	129.683129770992	429.329821472544	627.043279056883	279.327128786013	1175.60381433145	254.089973220882	362.901967495691	159.785508495444	472.074798387097	343.706650455553	341.38170401379	389.649461955183	564.019309591234	53.3047746860379	75.385572519084	541.002585570057	884.366653533612	512.898318148239	293.934686037922	271.194320980054	242.754933206107	321.062908150702	388.414018406796	332.052859825166	563.784025486333	567.520160059099	732.086719711894	238.221965033243
ABCC12	110.416944880053	34.982975414404	136.463571326741	141.48326702005	69.5774543475162	146.072377817235	36.5089023963504	52.5352065215983	41.7758174678262	21.8512584403634	32.825117614277	27.3582420715665	33.1009901631696	36.6531201804067	20.8197689187263	79.2166156896798	25.3721004678651	26.0415149237289	143.03918596664	53.3072149716819	142.045994634456	118.40128047279	94.2926476496585	92.0063595951218	18.0545257196179	86.3280874557731	11.0040876631372	87.4375328866367	92.1800399175728	39.5423579880506	78.4359932088285	134.622095931777	35.204924895346	65.7550467217045	23.7506285721692	3.4450135434622	55.3992969063881	99.4178773701059	15.2014781166163	29.8529426249692	91.9451224095698	26.2293426560738	171.568722378465	86.8902882359802	34.6321265179694	37.7089879340064	17.8165476483625	30.4147157168963	22.8253003538148	57.9028499591752
ABCC3	395.427012127555	333.828806020685	9.00514651563654	60.9598066978577	573.217276532874	21.4251169662645	122.26663845112	1587.47739842403	17.4289260650086	5.29842403348929	351.600774439793	1448.05070302881	7.55715341049003	26.6498322457523	73.412597574489	85.7355435853238	21.5011040999754	4.53575474021177	43.6712459985225	1.45533119921202	8.03117458754001	24.8849051957646	199.342786259542	457.921062546171	592.576380509727	18.774985225314	79.4145050480177	116.394159381926	32.6125658704753	732.177283920217	315.284475806452	29.5741079783305	11.5957892144792	46.4436850529426	48.0082125707954	3106.62051342034	778.379351145038	23.4777148485595	105.330986210293	1268.14473405565	54.8584203398178	44.6596620290569	189.119742366412	24.2475535582369	95.5895318271362	209.133565316425	195.62435176065	802.907668062054	7.2638681974883	4.5630632849052
ABCC6	40.3805482024132	42.9547848436346	62.4884757448904	83.9589017483379	32.7789214479192	61.4815562669293	24.2951289706969	8.64496429450874	51.1391452228515	89.3642945087417	67.2105146515637	67.235459246491	113.166756956415	71.0846758803251	48.6738903595174	6.90020622999261	51.6283350775671	33.0725683329229	50.8751046540261	27.0067224821473	75.7000492489535	45.4486333415415	52.3732824427481	49.0779795616843	25.1201443609948	27.9465402610195	50.3590987441517	52.2916969342526	41.2175080029549	24.9556513174095	17.7199596774194	111.922368259049	88.9639743905442	64.9170832307314	59.7491519945826	3.632725929574	16.593893129771	72.1982270376755	77.8434375769515	35.0377246983502	90.3259295739965	87.12710847082	30.5927958015267	77.6562915538045	46.4309945210539	76.7505032627432	48.2544539522285	56.7456045309037	58.8714279118444	18.9506525486333
ABCC8	3764.85498606773	3757.12880286162	5354.40974351663	5515.84055068106	4673.50637748027	4820.35452766366	3809.99998120764	1687.07835340012	3057.75443305382	5263.70603170077	4429.08623828717	3155.18771225651	6393.92122370689	7924.39070166798	7531.61342383909	1151.41039075156	7678.00868751539	5032.48749789396	5352.44967197605	2653.81800049249	5177.63430384012	3908.18425264713	5869.37779831258	7419.93354022214	3154.32632615767	7309.71554996825	8012.11934498892	5742.24874155964	6047.89054147928	3250.32912881193	3323.27071307301	5384.7881714382	8483.83174095051	6621.37131559507	5805.76865641079	1846.36411228761	4088.21000803536	5003.92821965033	5183.53388172475	3461.64621521793	6922.8864981402	8607.76978447103	4309.6529288871	7340.90507873352	4820.65793698726	5087.49542723467	4210.8026495937	4742.10851384803	4115.41560025402	2484.23281535531
ABCC9	4481.81917229358	3383.83359977449	6079.50629738592	6660.83199464742	11479.5223235138	5691.98782254824	3792.96644169831	5374.26787432445	4494.90766696043	8048.48485076271	11628.7815192654	10017.0448541972	7419.14832747962	5530.31282514029	7097.56184975181	2305.00053985925	8056.06779364688	8677.65981674205	4954.51130302363	1778.64939670032	5281.91726953434	4123.94050726422	4970.53680393732	2691.98743840641	7559.10308842779	7660.07839416011	10298.7973885742	3178.86395786622	7632.30142472038	2413.02773169689	6413.58043293718	2647.14604083775	3655.41733563162	4354.97155393408	6251.49431783719	12002.957447673	5778.10831458417	4214.43092834277	7859.92830823365	7854.12135803989	3411.93951509221	3844.33770720201	3982.67816593009	5829.08723564328	6108.8427169222	5935.9616375277	6318.74924772224	7100.20422037611	6679.77784671911	3208.71697922472
ABCD1	33.2553219650332	59.0694441024378	291.487392267914	173.469995075105	139.993179019946	295.381531642453	21.410376138882	7.59235409997538	4.33075289337602	372.704099975376	188.411930558976	247.78110071411	328.302093080522	31.9271454075351	324.808935606993	28.728644422556	299.071063161783	181.891356808668	50.9637897069687	15.17402117705	74.0329598621029	231.022863826644	1.84427480916031	10.6690716572273	370.105051095789	696.497069687269	671.751834523516	8.14786074858409	84.9922309775917	9.09464417631125	110.568951612903	245.810582368875	16.9648608717065	71.339202166954	153.468409874415	11.0768283673972	1.51297709923664	28.9134449642945	414.420598374785	60.4472543708446	4.47836739719281	50.0204690962817	4.61765267175572	20.9231223836493	483.600895715341	489.850871090864	511.408932528934	113.770832307313	560.210942501847	255.074218172864
