	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20	Sample21	Sample22	Sample23	Sample24	Sample25	Sample26	Sample27	Sample28	Sample29	Sample30	Sample31	Sample32	Sample33	Sample34	Sample35	Sample36	Sample37	Sample38	Sample39	Sample40	Sample41	Sample42	Sample43	Sample44	Sample45	Sample46	Sample47	Sample48	Sample49	Sample50
AACS	2995	2768	1679	2592	2197	3132	2935	2363	2532	2222	1579	1743	2305	2715	2379	4173	1303	2845	2092	3499	2451	3451	2337	2450	1648	4336	1739	1334	1182	3993	1711	2093	1870	2084	4741	3470	2428	2536	860	1275	2019	4206	2303	3193	3018	2850	2932	2417	774	2015
AADAT	1454	1046	3035	1848	2110	2425	1793	2036	992	1933	2602	3941	1805	1938	3745	3012	1003	2355	1987	1657	2088	1352	1528	3100	3506	4093	728	2574	2256	1625	1412	2434	920	1345	1825	1916	1169	2642	917	2987	2761	1357	2229	2987	597	3886	2940	1905	2268	613
AAK1	12323	12202	9225	10066	13125	14281	11712	10969	15795	17815	7542	10753	9683	11228	14080	13678	17065	12407	12111	14023	11841	10228	10180	9580	14679	18740	13990	15522	10717	12432	15925	15362	10512	18460	18155	12179	12240	12875	11811	8065	8860	19052	18890	11381	10333	17591	15284	15872	16260	11395
AASDH	3472	3137	4498	4496	4025	3063	2800	2716	4169	2541	3541	3869	4757	3002	3168	3885	4593	2806	4274	4149	2631	2744	3904	2759	4087	4681	4771	1915	1786	3497	1857	3119	2341	3030	2907	4041	3145	4219	2790	2277	3937	3915	5109	3089	4545	2701	4768	2398	2805	2942
AASS	40169	41477	41807	44856	40818	23865	40995	44495	33717	29989	36769	42403	41394	62601	42313	34757	33879	30424	51865	47731	46296	45951	41017	48370	58089	42418	45875	22409	32247	34265	32036	23819	26037	23347	60772	38244	42589	31961	27938	38527	31517	39851	31826	26323	27564	37214	37578	30061	43674	50721
AATK	816	749	1775	1573	698	1386	805	1653	1347	1254	651	1681	823	973	917	1064	883	1518	1367	1476	1003	672	1227	932	1505	1372	645	794	752	1175	1052	771	853	821	1002	1480	1178	907	595	1923	1994	828	1029	2199	1754	934	1368	1852	846	954
ABCA2	245	138	267	129	201	237	156	130	324	231	72	261	157	156	200	183	149	309	132	224	108	50	252	124	204	297	133	66	214	405	106	215	160	140	146	207	152	113	88	258	215	204	138	229	187	210	133	274	215	363
ABCA4	43	519	585	603	159	108	1051	29	5	184	6	10	17	76	8	530	569	54	46	1085	72	560	1047	157	99	17	16	60	22	103	41	635	518	29	94	47	56	72	564	0	110	55	58	45	92	153	985	91	494	573
ABCA8	1847	1788	4452	2296	1042	1300	2611	1458	2811	1797	1993	4178	3137	2820	1020	3211	1855	2390	2466	3105	2358	1634	2721	4138	941	3434	687	1318	2479	3561	4747	4524	3597	1075	3564	4428	1173	2743	2958	4922	5234	3308	829	2247	3973	2506	2049	3785	791	1012
ABCB1	3389	760	1261	1176	1092	480	1082	3014	2573	3643	994	1519	244	2544	1809	945	1176	3133	894	1208	1939	948	1008	1430	2606	954	1785	1954	746	2493	2002	817	727	2474	3685	160	2234	1179	1670	952	1506	489	1798	2273	931	126	2573	2123	2811	2036
ABCB10	386	1051	807	555	1100	851	646	1160	532	1531	600	1561	487	536	786	714	1186	840	685	612	1325	286	2262	1471	732	1046	933	1828	820	857	670	920	1815	666	836	673	826	1523	2125	432	420	1595	764	1762	955	836	1137	565	1096	1496
ABCB4	428	430	209	175	448	286	439	369	196	10	516	609	600	233	244	464	427	48	146	75	310	89	222	393	352	34	573	244	36	222	306	19	437	452	181	513	320	388	115	119	209	440	812	114	519	518	358	169	863	314
ABCB8	371	355	1072	1313	212	1224	1425	745	1059	2557	770	1458	219	551	405	686	501	1053	625	1589	544	944	444	144	1392	2024	1823	1199	1735	387	1000	829	1337	1660	911	961	873	2605	1210	1673	590	893	170	34	867	1411	683	929	717	169
ABCB9	175	117	308	491	223	277	188	377	143	134	88	401	84	220	179	313	224	190	347	579	131	216	266	403	189	445	307	246	126	264	490	254	160	279	325	206	128	130	147	290	318	290	201	341	216	365	257	67	189	283
ABCC12	118	5	34	16	1	1	26	54	34	111	0	11	55	54	99	7	34	111	1	38	1	72	50	6	20	44	54	55	78	121	21	90	1	108	1	43	1	119	17	0	10	89	54	76	0	44	88	72	0	12
ABCC3	88	8	8	12	391	5	105	82	4	1	86	477	2	620	88	397	86	3	392	320	620	89	100	312	8	312	81	311	16	84	91	316	5	311	931	397	312	6	94	0	314	392	0	323	2	167	400	317	167	11
ABCC6	44	38	37	27	4	31	34	11	43	32	23	14	42	7	30	54	7	22	33	43	10	4	28	30	42	69	36	13	55	19	23	9	12	7	78	28	18	14	47	24	42	25	16	31	62	35	27	16	43	28
ABCC8	3037	1809	3431	2525	2243	3302	1581	3562	1992	4616	4475	2189	3763	1496	3837	3911	3385	2936	3390	2370	1954	2223	1978	1704	2606	7872	3958	2950	2752	2432	1088	2317	1287	3671	2273	1615	3018	1863	2829	3208	5467	3873	4441	2359	1962	3090	2287	3576	2206	1869
ABCC9	1214	1116	4687	2419	2933	4318	5922	4185	5925	1507	4313	1499	4574	5075	2147	2235	2111	2717	2201	3527	3615	4535	2764	3004	6250	2598	5439	2810	1263	4042	2585	3095	2089	1004	3700	2832	5683	2442	1981	3109	2225	4674	1791	5633	3428	2114	4838	3297	1570	3188
ABCD1	222	206	30	16	205	17	0	2	15	2	206	36	0	15	5	17	210	16	30	30	19	19	16	237	1	19	16	3	1	4	16	0	3	1	16	4	2	415	207	1	0	16	17	0	0	20	616	4	19	2
ABCD2	4173	4776	4071	5545	5379	5603	8061	4904	4787	6479	7476	3662	4549	5273	3960	5972	2271	4990	7204	4867	5723	4502	6207	5018	8916	9306	3656	3157	3086	5969	3268	2968	4108	2529	6562	3040	5064	4882	4642	5465	3173	4480	2668	6327	3530	5817	6380	2981	5763	4067
ABCD4	4312	2897	6500	5274	5146	6107	6280	4488	6816	4677	2660	7137	4406	6403	4209	2649	4971	6931	4646	3981	4974	5264	5683	4471	8069	6241	3276	4668	3879	5793	6335	4371	4402	5412	7230	4249	3371	5897	3740	8152	5452	5037	2777	3295	5045	2909	5493	4346	6166	3537
ABCG1	273	1151	824	1094	339	1410	744	790	1299	918	170	835	581	1539	494	358	1904	1574	1382	1342	861	930	661	1542	759	1401	1565	1009	1232	1503	587	592	1821	1310	804	725	1053	1554	878	1796	1494	1336	349	2528	1729	1467	983	1711	1704	1356
ABCG2	9827	1054	8613	3775	14024	2218	2001	2679	6396	7587	16888	5742	184	6889	15036	1062	4672	3159	927	5619	9157	2043	2960	15961	10065	3715	4598	5452	5059	5565	7407	4821	9273	4953	4071	3723	4964	10241	6684	1	4655	3850	16717	6910	5758	270	3134	4539	6512	7741
ABHD1	87	92	164	5	60	184	116	86	50	20	139	156	97	122	6	15	7	91	94	43	202	69	71	42	24	71	130	180	164	36	47	87	5	89	112	29	95	50	71	17	18	36	0	239	158	47	136	116	68	42
ABHD10	2173	3455	2464	2227	2068	4499	2840	3108	3434	3033	1903	2386	2684	3138	2163	2458	2290	3645	2149	2969	1448	3434	2006	1419	2397	2045	2695	2088	2117	3254	1524	2109	1970	3394	3222	2973	3051	2878	3591	2801	2832	2333	3170	2428	3256	3079	3438	3908	2861	2811
ABHD14B	191	154	188	114	1096	639	581	143	504	1017	350	277	139	201	591	94	109	1054	213	108	191	93	636	269	565	94	109	116	718	64	75	302	215	187	150	697	718	199	552	124	196	621	264	645	188	13	107	250	187	235
ABHD15	2	3	14	22	13	2	14	31	1	1	4	18	1	16	42	16	11	14	19	10	25	12	20	5	44	18	2	14	21	10	18	34	17	9	14	10	11	9	15	8	12	10	10	7	12	14	15	16	28	15
ABHD2	5053	5095	4762	9461	6391	6493	6493	5820	6861	4756	4762	4772	5473	5344	5221	4601	6587	5410	5194	7106	6282	3933	7074	5035	10295	7629	5972	3522	3838	4498	3558	4523	4739	5709	5744	4213	7119	4670	5193	5495	6204	6095	5301	6311	5097	4456	4120	7330	5568	7738
