	astrocytes	endothelial	microglia	neurons	oligodendrocytes
1	0.131313131313131	0.0606060606060606	0.0303030303030303	0.525252525252525	0.252525252525253
2	0.13	0	0.23	0.58	0.06
3	0.336633663366337	0	0	0.603960396039604	0.0594059405940594
4	0.575757575757576	0.0505050505050505	0	0.232323232323232	0.141414141414141
5	0.5	0.24	0	0.22	0.04
6	0.36	0	0	0.52	0.12
7	0.06	0	0.09	0.61	0.24
8	0.03	0.61	0	0.1	0.26
9	0.01	0	0.01	0.7	0.28
10	0.55	0	0	0.44	0.01
11	0.69	0.03	0	0.23	0.05
12	0.17	0.47	0	0.34	0.02
13	0.48	0	0	0.5	0.02
14	0.121212121212121	0	0.0101010101010101	0.848484848484849	0.0202020202020202
15	0.474747474747475	0.0606060606060606	0.0101010101010101	0.424242424242424	0.0303030303030303
16	0.111111111111111	0.0707070707070707	0.0202020202020202	0.101010101010101	0.696969696969697
17	0.366336633663366	0.0099009900990099	0.0099009900990099	0.613861386138614	0
18	0.6	0	0	0.17	0.23
19	0.19	0.02	0	0.52	0.27
20	0.0594059405940594	0	0	0.188118811881188	0.752475247524752
21	0.29	0	0	0.63	0.08
22	0.09	0	0	0.53	0.38
23	0	0.17	0	0.79	0.04
24	0.0297029702970297	0.0396039603960396	0.0396039603960396	0.772277227722772	0.118811881188119
25	0.48	0.25	0.03	0.07	0.17
26	0.32	0.01	0	0.61	0.06
27	0.8	0.07	0	0.13	0
28	0.02	0	0.07	0.51	0.4
29	0.33	0.02	0	0.61	0.04
30	0.03	0.1	0	0.57	0.3
31	0.404040404040404	0	0.434343434343434	0	0.161616161616162
32	0.101010101010101	0.0101010101010101	0.0202020202020202	0.646464646464647	0.222222222222222
33	0.0606060606060606	0	0	0.939393939393939	0
34	0.27	0.02	0.04	0.58	0.09
35	0.48	0.03	0.03	0.41	0.05
36	0.04	0.87	0	0.09	0
37	0	0.43	0	0.48	0.09
38	0.1	0	0	0.9	0
39	0.643564356435644	0.0891089108910891	0	0.217821782178218	0.0495049504950495
40	0.181818181818182	0.313131313131313	0	0.505050505050505	0
41	0.01	0.03	0	0.92	0.04
42	0.191919191919192	0	0.101010101010101	0.696969696969697	0.0101010101010101
43	0	0.0202020202020202	0.212121212121212	0.737373737373737	0.0303030303030303
44	0.08	0.01	0	0.9	0.01
45	0.22	0.08	0.01	0.58	0.11
46	0.28	0.01	0.29	0.42	0
47	0.404040404040404	0.171717171717172	0.0202020202020202	0.404040404040404	0
48	0.393939393939394	0.161616161616162	0	0.434343434343434	0.0101010101010101
49	0.54	0	0.01	0.36	0.09
50	0.2	0	0	0.16	0.64
