	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20	Sample21	Sample22	Sample23	Sample24	Sample25	Sample26	Sample27	Sample28	Sample29	Sample30	Sample31	Sample32	Sample33	Sample34	Sample35	Sample36	Sample37	Sample38	Sample39	Sample40	Sample41	Sample42	Sample43	Sample44	Sample45	Sample46	Sample47	Sample48	Sample49	Sample50
A1BG	2	0	15	19	12	1	1	1	18	8	6	18	16	1	0	6	1	0	11	12	1	5	8	10	3	9	0	2	9	0	13	5	19	1	1	6	9	6	17	18	9	5	17	10	12	6	24	5	14	7
SERPINA3	1	0	240	110	0	0	0	0	66	90	0	65	252	1	0	0	0	68	132	53	0	53	104	36	76	58	5	0	1	0	79	0	42	0	0	49	91	0	53	109	73	1	23	67	81	180	48	3	248	95
AAMP	23	67	149	106	19	17	10	14	143	7	29	114	124	19	36	16	15	16	139	1042	61	12	136	40	158	176	14	13	13	30	247	55	130	5	63	153	199	17	126	97	153	9	70	97	120	149	40	91	107	175
AARS	10	14	0	16	10	14	18	12	0	785	7	0	0	22	22	18	8	3867	0	0	21	1238	0	14	0	0	1564	16	12	10	0	16	0	6	9	0	0	14	0	0	33	12	19	0	0	0	29	5	0	0
ABAT	3	5	0	20	2	14	18	38	0	36	7	0	1	15	27	28	15	376	0	0	1	27	1	5	0	0	28	25	15	17	0	3	0	4	12	0	0	4	0	0	5	9	1	0	0	0	20	4	0	1
ABCA1	0	0	6	0	0	0	0	0	0	678	0	4	0	0	0	0	0	634	10	6	0	685	3	3	7	11	354	0	0	0	5	0	0	0	0	1	6	0	3	13	1	0	0	0	6	3	0	0	1	2
ABCA3	10	15	53	40	21	18	37	48	18	77	15	37	21	37	48	52	30	91	23	43	31	48	24	30	38	28	75	34	24	15	49	12	48	14	29	31	33	13	31	44	63	16	20	13	49	34	21	18	25	41
ABCB7	76	101	1	43	93	90	68	75	2	149	71	1	2	85	122	117	98	46	2	3	97	109	1	59	2	0	114	134	83	102	1	110	5	95	101	0	5	72	1	3	64	78	44	1	1	2	79	81	2	1
ABCA4	134	65	8	54	70	58	58	75	2	0	91	6	2	57	197	51	88	2	9	3	54	0	4	62	1	2	0	119	88	139	4	88	3	126	151	2	2	93	11	1	22	48	42	1	9	7	168	54	4	8
ABL1	5	5	3	0	4	2	5	0	7	4	3	9	10	5	4	14	13	17	12	12	4	5	19	7	6	7	2	9	5	4	8	8	11	5	13	14	18	7	13	9	5	2	17	12	16	15	5	8	6	5
AOC1	0	0	321	108	0	0	0	0	302	11	0	465	298	0	0	0	0	618	366	504	0	9	502	115	196	424	13	2	0	1	500	0	352	2	0	337	409	1	272	405	276	0	86	382	378	240	49	182	325	387
ABL2	0	0	55	15	0	0	0	0	24	1	0	35	34	0	0	0	0	40	46	30	0	4	31	10	37	22	1	0	0	0	36	0	26	0	0	40	34	0	40	31	13	0	8	40	50	37	13	6	56	29
ACAA1	42	36	405	197	62	60	63	52	299	114	83	314	488	60	78	36	26	16457	415	467	50	78	377	134	301	297	73	41	16	30	449	69	323	46	55	375	203	90	385	328	384	74	92	431	668	527	162	116	369	344
ACACB	34	32	0	17	30	17	32	22	0	1	35	0	0	30	28	39	20	123	0	2	46	0	0	30	2	0	2	12	35	32	0	46	0	40	55	0	0	27	0	0	9	13	15	0	0	0	35	20	0	0
ACADM	86	102	0	53	40	68	59	58	0	26	72	0	0	54	43	40	46	9	0	0	43	16	0	52	0	0	22	41	60	40	0	49	0	59	66	0	0	78	0	0	17	57	36	0	0	0	40	33	0	0
ACADSB	166	134	8	74	175	203	181	147	7	314	189	236	6	194	142	191	147	1842	5	12	195	359	4	89	125	6	377	141	127	245	7	184	0	192	147	7	7	155	127	5	32	207	94	122	15	120	120	195	4	6
ASIC2	10	8	625	37	10	8	13	2	114	0	6	280	76	8	4	5	14	3	126	144	8	0	93	50	344	77	0	20	12	3	302	10	138	7	12	333	105	18	137	196	66	6	106	140	359	316	34	36	101	306
ACLY	0	0	177	80	0	0	0	0	240	11	0	164	225	0	0	3	0	0	248	218	0	2	126	96	181	260	3	0	0	0	172	0	309	1	0	208	150	0	142	182	43	0	53	117	325	198	16	75	282	184
ACO1	2	2	60	30	0	0	0	0	53	88	2	93	61	0	0	2	0	18	64	44	0	186	70	23	98	73	164	0	0	0	79	0	80	2	0	59	44	0	57	72	45	0	31	51	89	65	16	10	49	44
ACOX1	0	0	1393	283	0	0	0	0	1191	32	0	692	624	0	0	31	0	0	838	631	0	35	1107	222	903	888	28	0	0	0	697	0	718	5	0	676	568	0	751	1054	594	0	234	880	693	814	122	408	961	722
ACRV1	0	0	33	165	0	0	0	0	14	0	0	59	49	0	0	0	0	0	6	11	0	0	14	8	9	7	0	0	0	0	3	0	172	0	0	34	21	0	8	2	16	0	0	150	5	17	0	10	8	150
ACTA1	0	0	5	17	0	0	1	0	20	184	1	11	6	1	0	0	0	3	57	22	0	215	49	2	66	64	204	0	0	0	61	0	52	0	0	15	13	0	24	15	8	1	3	49	43	46	1	12	46	4
ACTB	11	14	1	4	12	14	3	8	0	1016	6	0	1	8	9	15	6	2	0	0	6	642	0	5	0	0	748	7	6	12	0	11	1	13	20	0	0	12	0	0	3	8	12	1	0	0	4	7	0	0
ACTBP2	26	34	2	10	10	25	10	17	1	4	12	1	2	16	13	7	21	1643	2	5	15	1	0	5	3	2	2	28	17	15	2	7	0	5	4	0	0	8	2	3	79	30	3	0	0	2	13	8	1	0
ACTBP6	0	0	647	338	0	0	0	0	661	0	0	801	885	0	0	0	0	0	858	1053	0	0	764	155	945	856	0	0	0	0	831	0	628	9	0	707	954	0	752	799	438	0	297	846	630	778	240	145	1060	652
ACTBP8	178	41	0	40	74	40	17	31	0	0	148	0	1	11	34	24	38	99	0	0	28	0	0	196	1	0	0	29	13	29	0	30	1	41	35	0	2	24	0	0	5	39	34	0	0	1	18	146	1	0
ACTC1	0	3	2	5	4	7	18	7	0	300	6	4	3	7	8	3	13	0	1	2	1	817	3	4	0	3	439	3	3	3	6	9	3	11	0	1	3	7	3	2	5	1	10	4	3	3	4	2	3	3
ACTG1P9	112	123	25	95	51	132	148	86	82	2388	121	26	37	181	167	112	104	50	66	26	142	3262	31	44	53	11	3080	179	103	176	51	196	29	124	105	34	37	112	58	61	55	161	60	8	43	78	110	116	18	44
ACTN1	12	2	90	32	6	4	1	7	82	0	4	240	53	5	3	5	7	18	63	72	8	0	104	44	34	43	0	1	1	12	38	3	39	1	8	62	69	7	93	257	79	13	10	75	259	73	8	27	83	35
ACTN3	0	1	1443	830	0	0	0	1	1518	713	0	1129	1325	0	1	11	0	3967	1425	1139	1	541	1329	423	1152	1639	601	0	1	0	1265	0	1001	12	0	1553	1291	0	1127	1710	920	0	417	1305	1236	1417	186	403	1312	1794
ACVR1	0	0	300	109	0	0	1	0	251	2	0	362	286	0	0	2	2	864	309	299	2	10	405	96	220	461	6	1	2	0	296	0	315	1	0	411	365	0	512	370	119	1	98	368	233	262	137	52	264	313
ACVR2B	1	4	0	0	1	0	11	1	0	430	0	0	2	12	10	9	3	129	1	0	9	681	1	0	0	0	669	8	2	4	0	0	1	1	4	0	0	3	0	0	0	1	10	2	2	2	10	4	0	0
ACVRL1	0	0	13	15	0	1	0	0	15	0	0	16	22	0	0	0	1	0	12	23	0	0	10	9	25	10	0	0	0	1	20	0	21	0	0	6	12	0	18	15	3	1	2	16	18	14	1	1	10	13
ACYP1	1	3	11	2	5	2	1	2	18	57	1	46	34	2	0	1	2	31	44	2	0	63	51	1	13	18	133	0	1	1	7	3	28	1	0	59	37	3	21	47	7	3	9	12	16	36	4	2	22	28
ADA	35	40	0	1	2	5	6	13	0	0	5	0	0	7	3	19	51	0	0	0	20	0	0	21	0	0	0	9	33	3	0	26	0	8	7	0	0	10	0	0	1	10	0	0	0	0	2	13	0	0
ADAM8	3	4	84	44	1	6	2	5	119	1	3	140	74	6	9	2	1	1	183	54	8	1	99	11	176	218	2	6	7	5	87	6	114	7	12	75	133	2	45	84	26	1	72	112	120	43	17	16	110	71
ADAM10	0	0	271	73	0	0	0	0	195	132	0	228	186	0	0	2	0	2	251	250	0	143	164	44	272	364	35	0	0	0	240	0	203	12	0	203	223	0	190	220	123	0	78	196	246	231	44	51	256	225
ADAR	0	0	52	26	0	0	0	0	53	33	0	87	54	0	0	0	0	184	122	62	0	91	76	10	105	86	101	0	0	0	106	0	49	0	0	102	66	0	133	104	80	0	9	66	70	70	7	16	51	81
ADARB1	11	8	4	3	26	18	30	1	19	2913	11	28	13	23	41	4	21	25	3	6	31	2862	8	10	14	2	1805	8	16	22	6	10	7	4	20	5	20	12	15	6	18	11	21	3	1	26	16	6	3	28
ADCY1	2	0	14	19	5	2	0	4	6	1	0	27	44	0	2	0	3	0	2	26	2	12	30	3	10	32	0	2	2	1	21	0	18	0	0	6	12	0	33	43	13	0	7	21	31	35	17	5	16	32
ADCY3	5	0	9	10	3	13	1	14	11	0	1	7	9	2	2	3	1	6	16	4	1	0	10	8	6	9	0	4	0	3	11	1	11	0	5	1	4	7	6	8	13	0	3	10	10	10	4	8	16	11
ADCY5	404	585	4	235	327	409	480	192	0	0	307	0	2	382	416	694	380	275	0	4	747	0	1	436	4	2	0	413	430	453	0	1229	4	512	879	0	2	620	0	2	114	403	462	2	6	3	296	571	3	2
ADCY6	0	0	10	2	0	0	0	0	0	0	0	1	5	0	0	1	1	1	8	8	0	0	2	0	7	3	0	0	0	0	22	0	5	0	0	4	7	0	22	4	5	0	0	3	3	11	4	1	24	8
ADCY8	14	20	0	14	24	18	27	13	0	0	11	0	0	31	32	24	23	1	0	0	45	0	0	7	0	0	0	22	12	28	0	39	0	9	29	0	0	21	0	0	10	17	10	0	0	0	20	14	0	0
ADCY9	0	0	4	1	0	0	0	0	11	5	0	4	5	0	0	0	0	18	2	1	0	8	6	1	9	9	13	0	0	0	13	0	6	0	0	6	15	0	6	7	4	0	0	8	9	8	0	2	6	11
ADCYAP1	0	0	7	5	0	0	0	0	6	202	0	3	1	0	0	0	0	607	4	0	0	209	1	0	2	1	267	0	0	0	6	0	3	0	0	7	8	0	2	2	2	0	0	4	6	4	1	1	0	8
ADCYAP1R1	0	0	45	6	0	0	0	0	24	0	0	48	21	0	0	0	0	0	34	30	0	0	25	37	26	62	0	0	0	0	38	0	47	0	0	52	28	0	36	44	32	0	15	56	35	16	1	7	22	48
ADD1	0	0	37	13	0	0	0	0	18	4	0	30	24	0	0	0	0	44	37	30	0	0	41	9	31	24	2	0	0	0	27	0	40	0	0	38	17	0	31	44	19	0	18	37	35	21	18	12	46	14
ADD3	0	0	27	18	0	0	0	0	32	25	0	43	34	0	0	4	0	23	27	45	0	24	33	6	31	48	42	0	0	0	33	0	40	0	0	23	25	0	31	36	19	0	19	27	28	43	3	6	24	41
PLIN2	0	0	203	29	0	0	0	0	116	12457	0	146	148	0	0	0	0	0	207	280	0	13099	94	56	114	134	12054	0	0	0	122	0	185	4	0	238	176	0	169	130	93	0	48	147	227	200	52	103	151	179
ADH1C	0	0	582	385	0	0	0	0	563	3	0	636	686	0	0	10	0	70	683	663	0	2	658	103	667	654	1	0	0	0	603	0	703	0	0	698	676	0	542	776	404	0	251	779	707	782	148	188	719	752
ADK	87	245	0	26	160	141	130	66	0	14	209	0	0	92	112	100	93	24	0	0	115	28	0	73	17	0	6	123	71	165	0	147	0	80	66	0	0	91	0	0	18	161	60	0	0	0	192	106	0	0
ADM	53	25	0	9	30	88	15	28	0	66	58	0	0	19	30	7	41	18	0	2	50	79	0	62	0	0	55	40	35	31	0	42	0	85	26	0	0	34	0	0	10	9	4	0	0	0	85	44	0	0
ADORA2A	0	0	46	21	0	0	0	0	133	0	0	30	61	0	0	0	0	0	96	46	0	0	64	14	63	105	0	0	0	0	105	0	73	0	0	70	42	0	49	38	32	0	21	61	209	46	13	35	76	100
ADPRH	65	42	92	52	73	74	27	41	49	0	118	40	94	28	62	38	47	9	66	71	18	19	52	36	56	89	37	52	41	50	63	33	74	100	32	57	68	15	59	69	46	98	44	73	55	47	54	46	78	93
PARP1	2	6	21	10	2	2	1	6	31	2	1	16	26	1	4	3	2	18	42	9	1	3	18	1	12	24	5	2	4	5	11	0	31	1	6	13	27	3	25	39	3	4	9	9	16	13	3	3	8	36
PARP4	54	93	500	101	72	104	68	52	193	18	68	134	340	95	50	76	108	18	379	648	44	30	763	197	127	41	16	47	55	88	241	96	204	66	65	586	391	48	586	207	111	62	91	299	383	194	53	75	930	411
PARP1P1	235	193	0	118	194	421	194	173	0	14	193	1	0	213	300	264	245	52	1	11	325	5	0	130	1	1	13	183	152	270	0	138	0	146	265	0	0	225	1	0	60	362	122	0	0	0	263	138	2	0
ADRB1	0	0	1	0	0	0	0	0	3	804	0	11	2	0	0	0	0	386	5	5	0	1451	2	3	4	10	760	0	0	0	1	0	1	0	0	1	10	0	2	1	2	0	8	0	1	11	2	3	14	3
ADRBK1	0	0	240	48	2	1	1	0	102	0	0	198	224	0	0	1	1	0	1506	851	0	0	762	18	132	209	0	0	0	0	290	0	129	2	0	270	128	0	109	208	74	0	50	182	803	144	43	41	105	103
ADSL	53	49	56	35	64	56	22	48	37	24	51	42	28	50	75	22	58	25	39	48	63	24	39	29	70	54	34	50	94	45	41	32	56	60	56	44	52	59	37	33	58	59	48	65	39	35	49	38	58	44
ADSS	4	0	32	12	0	0	1	0	20	274	0	31	22	4	0	1	0	0	13	29	4	274	16	5	18	32	244	0	0	0	22	1	27	0	0	20	14	0	23	28	15	0	12	20	21	24	8	6	21	24
AP2A1	264	248	0	207	270	307	251	254	0	0	301	0	0	315	318	251	237	1936	0	17	333	0	0	181	2	0	0	220	247	282	0	251	0	365	273	0	0	343	0	0	58	246	120	0	0	0	309	235	0	0
AP2A2	662	386	0	145	1299	620	1174	416	0	144	351	1	0	1009	283	731	699	222	0	23	2089	155	2	202	55	0	176	596	708	576	0	516	1	397	1281	0	1	1126	0	0	37	631	842	2	3	0	354	375	0	1
AP1B1	7	5	68	18	1	6	3	1	81	1	11	72	57	3	4	2	1	85	56	107	1	0	75	14	52	93	0	5	1	5	76	5	34	3	1	58	71	3	96	65	28	5	35	142	67	63	3	5	118	76
AP2B1	13	9	25	27	5	10	14	13	36	1003	16	102	118	9	8	21	9	8	43	136	18	834	68	19	31	59	968	19	8	8	69	9	47	10	3	44	32	12	32	48	40	13	22	53	48	36	22	58	38	42
AP1G1	120	94	0	48	87	115	60	111	0	24	86	0	0	72	83	111	107	50	0	0	114	18	1	65	0	0	4	84	110	100	0	66	0	113	101	0	0	48	0	0	73	81	45	0	0	1	96	63	0	0
AEBP1	19	19	60	46	2	11	16	26	34	0	30	88	66	31	7	18	3	41	62	78	3	0	97	73	18	38	0	14	16	37	38	28	114	19	9	64	78	17	41	71	28	50	40	58	52	36	26	44	62	46
AFM	0	0	46	15	0	0	0	0	60	0	0	45	48	0	0	0	0	0	33	42	0	0	49	7	22	52	0	0	0	0	48	0	52	0	0	72	39	0	36	32	22	0	8	24	61	46	4	10	40	27
AGA	65	17	1	24	44	11	10	14	0	46	37	0	0	3	11	60	7	10	1	0	4	23	0	8	0	1	54	51	13	19	0	14	0	10	2	0	1	10	0	0	5	5	24	0	1	0	25	18	1	0
ACAN	4	4	18	8	1	13	8	16	13	0	3	21	16	9	2	2	3	3	12	14	10	0	5	3	18	14	0	23	4	8	24	21	10	2	15	5	8	6	11	18	3	6	1	18	15	16	6	10	10	16
AGER	0	0	19	4	0	0	0	0	30	11737	0	15	22	0	0	0	0	0	16	21	0	13525	17	3	16	20	16047	0	0	0	16	0	13	0	0	16	13	0	17	15	10	0	3	5	34	27	4	1	30	12
AGL	396	378	0	193	425	431	282	391	0	4	306	0	0	409	356	368	362	63	0	2	397	12	0	364	4	0	0	345	406	427	0	444	0	341	320	0	0	358	0	0	105	431	311	0	0	0	413	276	0	0
JAG1	30	26	1	1	31	19	14	18	0	240	14	0	0	34	8	13	14	1509	0	0	16	186	1	13	0	0	215	15	33	17	0	20	2	17	11	0	1	15	2	0	7	11	18	3	1	0	7	28	0	1
AGT	0	0	255	110	0	0	0	0	134	2	0	204	548	0	0	3	0	89	197	122	0	2	146	68	231	200	2	0	0	0	245	0	131	4	0	169	114	0	198	107	108	0	60	344	127	756	5	62	371	143
AGTR2	0	0	15	5	0	0	0	0	16	0	0	10	17	0	0	0	0	0	14	26	0	0	25	6	12	12	0	0	0	0	18	0	21	0	0	11	10	0	24	16	9	0	16	19	8	8	2	3	12	23
AHCY	1	8	95	43	6	1	10	3	140	98	2	69	175	7	9	6	6	96	43	57	15	102	119	51	79	186	79	6	8	2	57	11	157	7	0	128	152	6	49	185	11	11	34	59	60	150	31	11	79	45
AHSG	0	0	130	35	0	0	0	0	27	0	0	38	77	0	0	0	0	0	14	61	0	0	20	4	68	67	0	0	0	0	35	0	62	0	0	57	44	0	69	37	35	0	13	59	75	41	30	8	74	40
AIM1	0	6	635	503	0	1	9	2	548	0	0	864	1006	6	2	41	1	31	992	1102	2	0	430	255	990	883	0	4	0	5	1131	3	838	12	0	656	716	0	834	810	536	9	271	840	863	1026	246	278	583	882
AK1	0	0	8	7	1	0	3	0	0	63	1	7	5	0	0	0	1	6	5	1	1	54	6	9	12	8	25	0	0	1	3	0	12	1	0	5	18	2	5	7	2	1	2	10	20	6	2	0	5	6
AKT1	0	1	31	14	0	0	0	0	26	70	0	21	21	1	0	0	0	0	12	34	0	81	10	0	6	37	113	0	0	0	34	0	11	0	0	49	26	0	4	54	70	0	5	44	7	20	1	0	34	7
AKT2	2	2	182	65	0	0	4	0	83	1	0	195	201	0	2	0	4	5942	109	221	0	1	158	23	174	232	0	0	0	0	88	0	260	0	0	143	173	0	213	192	381	0	55	212	164	107	12	80	119	189
ALAD	1	0	52	29	1	0	0	0	74	128	0	56	47	0	1	0	0	584	46	39	0	209	113	22	110	47	333	0	1	0	35	0	66	1	0	75	50	0	113	48	46	1	17	43	60	38	7	9	52	85
ALAS2	0	0	3	5	0	0	0	0	4	0	0	40	29	0	0	0	0	0	21	22	0	0	8	6	14	15	0	0	0	0	1	0	57	0	0	31	22	0	37	53	5	0	2	30	10	4	8	3	12	8
