	beta	alpha	delta	gamma
1	0.38	0.61	0.01	0
2	0.86	0.1	0	0.04
3	0.96	0.04	0	0
4	0.85	0.15	0	0
5	0.59	0.41	0	0
6	0.99	0	0.01	0
7	0.96969696969697	0.0202020202020202	0.0101010101010101	0
8	0.79	0.01	0.2	0
9	0.45	0.54	0.01	0
10	0.51	0.49	0	0
11	0.6	0.4	0	0
12	0.98	0.02	0	0
13	0.54	0.45	0	0.01
14	0.95959595959596	0.0404040404040404	0	0
15	0.99	0.01	0	0
16	0.84	0.14	0.02	0
17	0.81	0	0.19	0
18	0.88	0.05	0	0.07
19	0.92	0.03	0	0.05
20	0.1	0.81	0.09	0
21	0.2	0.8	0	0
22	0.7	0.3	0	0
23	0.0505050505050505	0.414141414141414	0.535353535353535	0
24	0	0	1	0
25	0.09	0.78	0	0.13
26	0.75	0.23	0	0.02
27	0.93	0.03	0.02	0.02
28	0.89	0.11	0	0
29	0.55	0.45	0	0
30	0.27	0.73	0	0
31	0.61	0.34	0	0.05
32	0.09	0.91	0	0
33	0.02	0.98	0	0
34	0.767676767676768	0.0808080808080808	0.151515151515152	0
35	0.52	0.24	0.24	0
36	0.1	0.9	0	0
37	0.05	0.9	0.03	0.02
38	0.27	0.4	0.33	0
39	0.94	0.05	0.01	0
40	0.63	0.22	0	0.15
41	0.01	0.99	0	0
42	1	0	0	0
43	0.01	0.51	0.2	0.28
44	0.24	0.58	0.01	0.17
45	0.36	0.57	0.07	0
46	0.61	0.11	0	0.28
47	0.98	0.02	0	0
48	0.37	0.63	0	0
49	0.363636363636364	0.323232323232323	0.313131313131313	0
50	0.83	0.16	0.01	0
