	beta	alpha	delta	gamma
1	0.52	0.35	0.13	0
2	0.504950495049505	0.336633663366337	0.0495049504950495	0.108910891089109
3	0.24	0.08	0.23	0.45
4	0.71	0.23	0.04	0.02
5	0.58	0.36	0.03	0.03
6	0.78	0.18	0	0.04
7	0.900990099009901	0.0297029702970297	0.0099009900990099	0.0594059405940594
8	0.67	0.17	0.13	0.03
9	0.663366336633663	0.148514851485149	0.118811881188119	0.0693069306930693
10	0.27	0.66	0.06	0.01
11	0.56	0.14	0.09	0.21
12	0.54	0.32	0.11	0.03
13	0.41	0.52	0.04	0.03
14	0.415841584158416	0.485148514851485	0.099009900990099	0
15	0.31	0.35	0.28	0.06
16	0.633663366336634	0.356435643564356	0	0.0099009900990099
17	0.33	0.38	0.23	0.06
18	0.39	0.45	0.15	0.01
19	0.584158415841584	0.247524752475248	0.148514851485149	0.0198019801980198
20	0.52	0.41	0.03	0.04
21	0.41	0.38	0.2	0.01
22	0.445544554455446	0.376237623762376	0.148514851485149	0.0297029702970297
23	0.712871287128713	0.227722772277228	0.0495049504950495	0.0099009900990099
24	0.61	0.27	0.06	0.06
25	0.636363636363636	0.121212121212121	0.232323232323232	0.0101010101010101
26	0.742574257425743	0.108910891089109	0.0891089108910891	0.0594059405940594
27	0.37	0.55	0.08	0
28	0.343434343434343	0.595959595959596	0.0404040404040404	0.0202020202020202
29	0.0909090909090909	0.888888888888889	0.0101010101010101	0.0101010101010101
30	0.71	0.16	0.05	0.08
31	0.44	0.5	0.06	0
32	0.32	0.23	0.34	0.11
33	0.465346534653465	0.267326732673267	0.178217821782178	0.0891089108910891
34	0.36	0.6	0.04	0
35	0.68	0.18	0.12	0.02
36	0.485148514851485	0.0792079207920792	0.287128712871287	0.148514851485149
37	0.76	0.14	0.04	0.06
38	0.74	0.18	0.06	0.02
39	0.55	0.35	0.07	0.03
40	0.595959595959596	0.272727272727273	0.111111111111111	0.0202020202020202
41	0.31	0.55	0.07	0.07
42	0.78	0.15	0.05	0.02
43	0.565656565656566	0.262626262626263	0.0707070707070707	0.101010101010101
44	0.5	0.32	0.06	0.12
45	0.343434343434343	0.434343434343434	0.141414141414141	0.0808080808080808
46	0.292929292929293	0.363636363636364	0.242424242424242	0.101010101010101
47	0.393939393939394	0.474747474747475	0.131313131313131	0
48	0.57	0.39	0	0.04
49	0.61	0.28	0.1	0.01
50	0.55	0.25	0.19	0.01
