	beta	alpha	delta	gamma
1	0.77	0.17	0.04	0.02
2	0.55	0.34	0.08	0.03
3	0.35	0.56	0.09	0
4	0.707070707070707	0.161616161616162	0	0.131313131313131
5	0.41	0.43	0.11	0.05
6	0.63	0.25	0.12	0
7	0.81	0.16	0.03	0
8	0.818181818181818	0.101010101010101	0.0606060606060606	0.0202020202020202
9	0.55	0.25	0.2	0
10	0.28	0.58	0.11	0.03
11	0.484848484848485	0.323232323232323	0.191919191919192	0
12	0.6	0.21	0.13	0.06
13	0.38	0.44	0.17	0.01
14	0.39	0.57	0.04	0
15	0.39	0.38	0.21	0.02
16	0.59	0.32	0.08	0.01
17	0.32	0.55	0.04	0.09
18	0.68	0.19	0.04	0.09
19	0.35	0.41	0.07	0.17
20	0.54	0.42	0.04	0
21	0.292929292929293	0.333333333333333	0.363636363636364	0.0101010101010101
22	0.69	0.22	0.08	0.01
23	0.53	0.3	0.09	0.08
24	0.49	0.44	0.07	0
25	0.61	0.21	0.08	0.1
26	0.767676767676768	0.191919191919192	0.0202020202020202	0.0202020202020202
27	0.22	0.63	0.15	0
28	0.35	0.62	0.02	0.01
29	0.23	0.38	0.31	0.08
30	0.663366336633663	0.297029702970297	0.0099009900990099	0.0297029702970297
31	0.32	0.64	0.03	0.01
32	0.38	0.44	0.18	0
33	0.42	0.38	0.07	0.13
34	0.15	0.47	0.02	0.36
35	0.65	0.19	0.15	0.01
36	0.55	0.44	0	0.01
37	0.52	0.45	0.03	0
38	0.58	0.26	0.16	0
39	0.55	0.26	0.03	0.16
40	0.29	0.54	0.12	0.05
41	0.373737373737374	0.464646464646465	0.121212121212121	0.0404040404040404
42	0.8	0.09	0.07	0.04
43	0.47	0.41	0.12	0
44	0.5	0.42	0.07	0.01
45	0.515151515151515	0.131313131313131	0.262626262626263	0.0909090909090909
46	0.48	0.41	0.09	0.02
47	0.59	0.16	0.13	0.12
48	0.555555555555556	0.292929292929293	0.151515151515152	0
49	0.38	0.23	0.12	0.27
50	0.55	0.29	0.07	0.09
51	0.646464646464647	0.242424242424242	0.111111111111111	0
52	0.81	0.01	0.16	0.02
53	0.425742574257426	0.544554455445545	0.0198019801980198	0.0099009900990099
54	0.4	0.16	0.41	0.03
55	0.434343434343434	0.484848484848485	0.0505050505050505	0.0303030303030303
56	0.396039603960396	0.534653465346535	0.0594059405940594	0.0099009900990099
57	0.29	0.35	0.35	0.01
58	0.4	0.32	0.24	0.04
59	0.21	0.57	0.21	0.01
60	0.71	0.05	0.24	0
61	0.242424242424242	0.545454545454545	0.0606060606060606	0.151515151515152
62	0.49	0.37	0.13	0.01
63	0.46	0.22	0.13	0.19
64	0.67	0.29	0.02	0.02
65	0.27	0.66	0.07	0
66	0.5	0.33	0.17	0
67	0.55	0.26	0.19	0
68	0.42	0.39	0.19	0
69	0.485148514851485	0.346534653465347	0.0792079207920792	0.0891089108910891
70	0.613861386138614	0.198019801980198	0.0495049504950495	0.138613861386139
71	0.51	0.28	0.2	0.01
72	0.68	0.23	0.08	0.01
73	0.54	0.21	0.22	0.03
74	0.56	0.31	0.05	0.08
75	0.29	0.47	0.02	0.22
76	0.35	0.61	0.04	0
77	0.73	0.21	0.05	0.01
78	0.424242424242424	0.373737373737374	0.191919191919192	0.0101010101010101
79	0.55	0.23	0.12	0.1
80	0.33	0.39	0.18	0.1
81	0.64	0.21	0.13	0.02
82	0.43	0.5	0	0.07
83	0.56	0.09	0.31	0.04
84	0.45	0.33	0.22	0
85	0.33	0.23	0.43	0.01
86	0.32	0.38	0.18	0.12
87	0.445544554455446	0.435643564356436	0.108910891089109	0.0099009900990099
88	0.5	0.26	0.24	0
89	0.52	0.26	0.21	0.01
90	0.623762376237624	0.346534653465347	0.0297029702970297	0
91	0.64	0.25	0.08	0.03
92	0.676767676767677	0.161616161616162	0.161616161616162	0
93	0.831683168316832	0.0396039603960396	0.0891089108910891	0.0396039603960396
94	0.43	0.48	0.09	0
95	0.333333333333333	0.171717171717172	0.121212121212121	0.373737373737374
96	0.46	0.45	0.09	0
97	0.514851485148515	0.415841584158416	0.0297029702970297	0.0396039603960396
98	0.777777777777778	0.0909090909090909	0.101010101010101	0.0303030303030303
99	0.87	0.1	0	0.03
100	0.54	0.3	0.09	0.07
