	Bcells	Tcells	NKcells	Macrophages	Dendriticcells	Mastcells
1	0.247524752475248	0.524752475247525	0.0396039603960396	0.0693069306930693	0.0693069306930693	0.0495049504950495
2	0.0808080808080808	0.767676767676768	0	0.151515151515152	0	0
3	0.02	0.34	0	0.07	0.06	0.51
4	0.396039603960396	0.396039603960396	0	0.0792079207920792	0.0297029702970297	0.099009900990099
5	0.28	0.56	0.11	0.05	0	0
6	0.22	0.57	0.04	0.11	0.06	0
7	0.54	0.3	0.07	0.06	0	0.03
8	0.3	0.39	0.04	0.23	0.04	0
9	0.0808080808080808	0.333333333333333	0.0101010101010101	0.484848484848485	0	0.0909090909090909
10	0.67	0.27	0	0.01	0.04	0.01
11	0.0202020202020202	0.656565656565657	0.0505050505050505	0.0808080808080808	0.0101010101010101	0.181818181818182
12	0.05	0.81	0.03	0.05	0.05	0.01
13	0.121212121212121	0.696969696969697	0.0202020202020202	0.151515151515152	0.0101010101010101	0
14	0.37	0.25	0.13	0.01	0.19	0.05
15	0.05	0.52	0.11	0.29	0	0.03
16	0.262626262626263	0.222222222222222	0.111111111111111	0.232323232323232	0	0.171717171717172
17	0.49	0.18	0	0.22	0.02	0.09
18	0.178217821782178	0.237623762376238	0.0099009900990099	0.099009900990099	0.148514851485149	0.326732673267327
19	0.686868686868687	0.181818181818182	0.101010101010101	0	0.0303030303030303	0
20	0.247524752475248	0.445544554455446	0	0.0594059405940594	0.227722772277228	0.0198019801980198
21	0.01	0.31	0.21	0.23	0.22	0.02
22	0.0101010101010101	0.323232323232323	0.121212121212121	0.131313131313131	0.0101010101010101	0.404040404040404
23	0.29	0.64	0.02	0.05	0	0
24	0.26	0.14	0.06	0.18	0.17	0.19
25	0.34	0.13	0.09	0.12	0.26	0.06
26	0.06	0.47	0.05	0.28	0.14	0
27	0.0606060606060606	0.545454545454545	0.0303030303030303	0.303030303030303	0.0505050505050505	0.0101010101010101
28	0.0606060606060606	0.616161616161616	0	0.171717171717172	0.121212121212121	0.0303030303030303
29	0.292929292929293	0.454545454545455	0.0202020202020202	0.191919191919192	0.0202020202020202	0.0202020202020202
30	0.03	0.69	0.01	0.17	0.05	0.05
31	0.24	0.34	0.28	0.07	0.06	0.01
32	0.02	0.38	0.31	0.07	0.01	0.21
33	0.02	0.36	0	0.13	0.09	0.4
34	0.099009900990099	0.445544554455446	0.247524752475248	0.099009900990099	0.0891089108910891	0.0198019801980198
35	0.03	0.45	0.46	0.02	0.04	0
36	0.02	0.42	0.06	0.4	0.1	0
37	0.252525252525253	0.464646464646465	0.0909090909090909	0.0202020202020202	0.171717171717172	0
38	0.267326732673267	0.099009900990099	0.0891089108910891	0.118811881188119	0.178217821782178	0.247524752475248
39	0.09	0.2	0.15	0.42	0	0.14
40	0.28	0.36	0.03	0.2	0.08	0.05
41	0.03	0.51	0.09	0.11	0.16	0.1
42	0.222222222222222	0.555555555555556	0.0303030303030303	0.191919191919192	0	0
43	0.19	0.4	0.3	0.09	0	0.02
44	0.0594059405940594	0.475247524752475	0.0495049504950495	0.158415841584158	0.188118811881188	0.0693069306930693
45	0.01	0.56	0.08	0.23	0.07	0.05
46	0.00980392156862745	0.519607843137255	0	0.245098039215686	0.0196078431372549	0.205882352941176
47	0.13	0.69	0.07	0.09	0.01	0.01
48	0.232323232323232	0.121212121212121	0.0101010101010101	0.0202020202020202	0.0101010101010101	0.606060606060606
49	0.0396039603960396	0.524752475247525	0.0693069306930693	0.227722772277228	0.0297029702970297	0.108910891089109
50	0.118811881188119	0.554455445544555	0.0099009900990099	0.277227722772277	0.0297029702970297	0.0099009900990099
