	liver	brain	lung
1	0.49	0	0.51
2	0	0	1
3	0	0.99	0.01
4	1	0	0
5	0.96	0.04	0
6	1	0	0
7	0.97	0.03	0
8	1	0	0
9	0	0.05	0.95
10	0	0	1
11	0	0	1
12	1	0	0
13	1	0	0
14	0	1	0
15	0.07	0.84	0.09
16	1	0	0
17	0	0	1
18	0.96	0.04	0
19	1	0	0
20	0	0	1
21	0	0	1
22	0	0.27	0.73
23	1	0	0
24	0	0	1
25	0	1	0
26	0	1	0
27	0	1	0
28	0	1	0
29	0	0	1
30	1	0	0
31	1	0	0
32	1	0	0
33	0	1	0
34	1	0	0
35	0	1	0
36	0.15	0.85	0
37	0.99	0	0.01
38	0	1	0
39	0	1	0
40	1	0	0
41	0	1	0
42	0	0.68	0.32
43	0	0	1
44	0.95	0.05	0
45	0.44	0.56	0
46	0	0.97	0.03
47	0	0	1
48	0	1	0
49	0	0.25	0.75
50	0.01	0.96	0.03
