	liver	brain	lung
1	0.08	0.2	0.72
2	0.13	0.74	0.13
3	0.47	0.05	0.48
4	1	0	0
5	0.62	0.34	0.04
6	0.48	0.52	0
7	0.96	0.04	0
8	0.02	0.01	0.97
9	0.02	0	0.98
10	0.32	0.08	0.6
11	0.643564356435644	0.267326732673267	0.0891089108910891
12	0.747474747474748	0.252525252525253	0
13	0.24	0.76	0
14	0.87	0.06	0.07
15	0.37	0.56	0.07
16	0.831683168316832	0.118811881188119	0.0495049504950495
17	0.247524752475248	0.0198019801980198	0.732673267326733
18	0.297029702970297	0.178217821782178	0.524752475247525
19	0.06	0	0.94
20	0.33	0.65	0.02
21	0.8	0.1	0.1
22	0	0.62	0.38
23	0	1	0
24	0.0101010101010101	0.777777777777778	0.212121212121212
25	0.57	0.1	0.33
26	0.76	0	0.24
27	0.73	0.22	0.05
28	0	0.67	0.33
29	0.02	0.09	0.89
30	0.53	0.27	0.2
31	0.32	0.22	0.46
32	0.0396039603960396	0.940594059405941	0.0198019801980198
33	0.3	0.6	0.1
34	0	0.99	0.01
35	0	1	0
36	0.07	0.06	0.87
37	0.474747474747475	0.171717171717172	0.353535353535354
38	0.25	0.75	0
39	0	0.27	0.73
40	0.08	0.22	0.7
41	0.21	0.16	0.63
42	0	0.36	0.64
43	0.03	0.84	0.13
44	0.57	0	0.43
45	0.141414141414141	0.0909090909090909	0.767676767676768
46	0.68	0.22	0.1
47	0.28	0.57	0.15
48	0.91	0.06	0.03
49	0.09	0.01	0.9
50	0.26	0.66	0.08
