	liver	brain	lung
1	0.43	0.37	0.2
2	0.25	0.41	0.34
3	0.16	0.26	0.58
4	0.64	0.28	0.08
5	0.313131313131313	0.262626262626263	0.424242424242424
6	0.39	0.3	0.31
7	0.57	0.14	0.29
8	0.43	0.38	0.19
9	0.191919191919192	0.323232323232323	0.484848484848485
10	0.07	0.47	0.46
11	0.31	0.35	0.34
12	0.45	0.28	0.27
13	0.131313131313131	0.151515151515152	0.717171717171717
14	0.212121212121212	0.222222222222222	0.565656565656566
15	0.168316831683168	0.702970297029703	0.128712871287129
16	0.36	0.43	0.21
17	0.14	0.39	0.47
18	0.31	0.18	0.51
19	0.346534653465347	0.376237623762376	0.277227722772277
20	0.333333333333333	0.191919191919192	0.474747474747475
21	0.35	0.27	0.38
22	0.484848484848485	0.282828282828283	0.232323232323232
23	0.42	0.13	0.45
24	0.52	0.05	0.43
25	0.64	0.16	0.2
26	0.13	0.18	0.69
27	0.08	0.31	0.61
28	0.67	0.22	0.11
29	0.131313131313131	0.636363636363636	0.232323232323232
30	0.23	0.24	0.53
31	0.76	0.16	0.08
32	0.3	0.36	0.34
33	0.44	0.44	0.12
34	0.262626262626263	0.494949494949495	0.242424242424242
35	0.313131313131313	0.505050505050505	0.181818181818182
36	0.3	0.36	0.34
37	0.303030303030303	0.262626262626263	0.434343434343434
38	0.31	0.22	0.47
39	0.323232323232323	0.363636363636364	0.313131313131313
40	0.22	0.2	0.58
41	0.07	0.57	0.36
42	0.44	0.4	0.16
43	0.45	0.26	0.29
44	0.22	0.12	0.66
45	0.11	0.68	0.21
46	0.16	0.39	0.45
47	0.09	0.35	0.56
48	0.5	0.25	0.25
49	0.158415841584158	0.485148514851485	0.356435643564356
50	0.227722772277228	0.247524752475248	0.524752475247525
