	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20	Sample21	Sample22	Sample23	Sample24	Sample25	Sample26	Sample27	Sample28	Sample29	Sample30	Sample31	Sample32	Sample33	Sample34	Sample35	Sample36	Sample37	Sample38	Sample39	Sample40	Sample41	Sample42	Sample43	Sample44	Sample45	Sample46	Sample47	Sample48	Sample49	Sample50
AACS	4464	889	3377	1792	5071	4870	7287	1709	2977	1122	1287	2837	2821	4081	2842	4407	3834	1229	2028	1339	2577	1340	5754	976	2646	2832	3332	3315	4620	3881	3581	4929	1388	2542	1951	2761	1807	5600	1178	1510	784	7782	4585	2725	1641	2584	2360	3030	1627	853
AADAT	685	2183	405	3003	1463	2121	2622	2038	3066	2157	1906	3350	1849	2249	2700	2119	891	1029	2913	4562	833	1248	2198	771	2059	3249	2559	2153	1540	1686	2378	1439	1204	366	1253	1992	1278	2262	1477	2015	2434	1954	1993	2304	1609	400	2286	979	2450	498
AAK1	9394	20291	16791	7962	10776	8480	11384	13954	9496	8125	13052	13190	15179	12098	12126	9931	18822	13180	11001	17762	9976	13315	13013	13666	10960	21709	10305	9959	7728	14390	15849	8977	11080	10140	13039	11983	15022	8631	15276	9714	8524	9446	13222	10467	11215	16626	14252	18214	13889	13544
AASDH	4082	2831	1157	3952	4751	2937	2335	4473	3287	4182	3056	3731	2596	3202	3065	6697	1690	3262	3894	2678	5229	4085	4769	2079	2663	4808	3795	4317	5642	4201	3783	4942	2088	1185	3094	3329	3447	3710	2688	2397	3124	3619	3904	2146	2296	2954	2684	4598	2205	2952
AASS	80528	30946	17947	26617	85320	70623	56245	41140	33530	17491	19882	24874	25226	73644	31036	77486	16017	20641	20406	25238	99508	33432	34562	21059	25488	17382	35222	69029	84624	67342	23120	106110	18391	22572	16739	29782	21368	88317	19967	40531	18665	68525	74782	31262	17281	21283	23529	52190	27137	25683
AATK	374	991	624	1139	2993	1979	1298	1379	1102	1100	695	627	1141	579	1590	1703	868	1098	590	894	436	670	1903	1148	1882	1277	949	1924	892	2733	1382	1484	962	605	993	2392	1154	1414	1210	1215	1285	1190	996	1692	813	703	956	1301	1063	740
ABCA2	83	144	31	132	196	113	144	310	103	391	266	136	155	194	193	125	110	301	294	68	67	148	134	473	187	488	145	119	53	133	269	101	231	135	258	107	305	88	296	91	420	147	108	100	194	127	310	51	315	226
ABCA4	111	28	108	28	102	156	78	1148	0	494	171	497	18	63	0	129	54	583	68	60	126	691	0	1620	0	9	0	63	184	41	1039	78	51	80	537	0	79	67	100	0	25	52	108	0	81	90	618	128	127	495
ABCA8	259	2789	922	5683	4306	2789	2436	1869	10054	1503	720	2650	8791	371	10023	2314	712	981	674	4398	245	416	6901	815	7475	790	8660	4069	2278	5522	4365	4973	3507	1554	879	13386	2335	786	2180	10490	910	2532	2426	13077	654	607	509	750	1965	635
ABCB1	1327	871	12755	1141	1682	1041	1124	1106	377	720	1538	549	1902	702	713	1966	4293	398	598	2003	1557	231	751	757	840	456	896	1467	1992	2729	807	2083	492	3696	446	462	337	2270	262	1491	841	1818	599	481	1022	5069	536	7484	303	285
