	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20	Sample21	Sample22	Sample23	Sample24	Sample25	Sample26	Sample27	Sample28	Sample29	Sample30	Sample31	Sample32	Sample33	Sample34	Sample35	Sample36	Sample37	Sample38	Sample39	Sample40	Sample41	Sample42	Sample43	Sample44	Sample45	Sample46	Sample47	Sample48	Sample49	Sample50
AACS	1256	2217	2021	2805	3373	5652	2708	2217	1512	3698	4994	2233	4857	1981	2325	6206	2768	2297	2596	2308	1812	3152	892	1512	4156	4046	2524	1784	2597	1901	2264	1712	1113	2423	5395	4032	1994	1061	3213	1930	1079	1882	1716	783	2093	550	4064	2920	2821	3124
AADAT	1597	5855	2052	759	1365	1884	4769	930	1970	2605	2259	765	2037	1378	2756	1875	1603	2993	1367	3669	912	1470	883	1670	1161	1433	1159	2574	1925	2151	3197	1676	851	1507	1956	585	492	786	1248	871	2263	2806	3409	270	3254	4224	2621	1622	907	1387
AAK1	8610	15941	10749	7651	16873	10277	14358	21017	12452	10641	12299	15611	14895	14147	11515	14357	13152	9568	9441	10917	12376	13827	13314	16508	14180	13139	11320	10236	15841	11911	9659	11433	8881	15005	13498	21048	14106	12296	9117	14252	9344	13976	16036	9961	13092	11812	14875	17419	9036	14003
AASDH	2552	3196	3363	5175	2838	4760	3240	3462	3367	5600	5817	3062	2580	3416	5024	3983	4658	2617	2955	2764	4408	3245	2450	3231	3455	4924	4750	2201	2898	3999	2632	2514	2964	3046	3086	1692	1367	2431	4200	2158	3721	4844	2388	4379	2656	2962	2247	3208	3154	3901
AASS	45192	29467	39612	58928	45425	60991	26567	30419	22789	40070	100284	25313	64577	24470	58676	29487	59004	54875	44151	26548	52018	27030	15169	25352	45420	33325	84352	30753	35086	28377	65650	32144	18498	40784	62471	15854	25836	19734	55170	18406	25347	26824	20104	28782	34516	39866	47568	43659	48605	44300
AATK	956	798	874	1621	1905	1385	673	1243	1074	1504	553	1229	1589	536	1194	1124	755	2087	612	1802	701	1021	1040	736	913	1266	1190	896	2242	1301	627	2190	952	653	1348	860	1060	1165	1129	1629	901	1065	692	1207	1185	745	1451	1905	2159	1336
ABCA2	234	168	187	129	110	199	152	52	198	136	45	157	237	243	195	54	201	213	67	199	134	56	332	154	116	209	210	78	268	365	46	318	254	131	267	45	181	420	56	312	238	334	122	308	159	65	210	155	228	256
ABCA4	87	555	37	568	119	40	84	1	492	43	100	570	491	542	183	18	192	30	15	53	106	1080	1542	626	51	14	511	59	1038	65	154	580	532	28	165	55	103	207	588	36	562	1097	77	120	592	531	99	512	46	602
ABCA8	2012	1489	1392	4428	3179	5479	3446	3070	2653	4012	447	2458	1060	812	1442	8771	872	3630	5028	6857	1875	2520	1972	1673	2507	2492	2348	5258	2790	3157	1855	5258	1326	936	2778	1522	1531	1219	4045	2112	663	894	498	1069	4043	2435	3965	7132	2903	7381
ABCB1	1832	325	873	2185	4728	158	838	8573	758	2136	918	8767	359	845	2330	527	328	1878	1345	921	496	560	1865	1878	3207	460	2579	1338	1283	2091	2252	676	636	1345	1506	13607	7706	452	1678	5744	1641	1538	905	447	2035	1136	3307	2175	798	472
ABCB10	230	1652	392	993	2429	1823	526	145	1180	1109	1477	1286	667	1310	1637	522	2044	841	543	683	1163	699	1144	1168	1647	670	512	539	2334	993	1477	939	2107	546	767	162	286	1902	988	1226	426	715	1087	352	859	2234	1454	963	222	503
ABCB4	123	566	268	192	278	333	281	36	211	175	307	359	330	248	395	9	206	580	47	49	420	121	52	254	114	368	222	140	254	248	601	12	164	266	88	175	34	16	5	31	208	1095	597	419	53	850	159	263	382	292
ABCB8	765	581	706	1244	973	654	1692	134	1013	339	803	687	900	1781	335	325	557	1311	490	1316	951	1237	246	2409	1557	1204	965	1378	1791	111	74	952	1089	1665	1004	162	1140	3424	1736	1330	566	728	943	1029	867	65	595	507	862	1204
ABCB9	48	270	182	397	203	426	204	7	12	208	466	329	423	139	297	236	293	106	286	31	194	101	148	82	492	363	704	154	337	209	213	169	178	596	434	7	58	91	702	292	299	362	71	292	355	508	239	418	389	306
ABCC12	123	11	26	1	0	20	87	33	87	94	118	6	8	64	66	137	78	54	10	33	8	68	76	11	38	59	17	121	59	143	1	45	22	108	2	0	1	174	13	1	10	110	74	1	11	8	71	54	16	76
ABCC3	6	175	11	8	313	10	14	927	6	6	5	934	6	12	315	619	14	0	7	0	4	13	336	11	619	1	630	2	16	309	325	12	15	2	316	927	3	6	13	0	319	93	95	3	10	252	315	315	5	10
ABCC6	34	34	30	23	6	37	27	0	24	10	26	37	49	33	14	20	19	6	13	18	28	4	60	45	6	24	43	13	38	19	24	38	19	8	85	19	3	20	49	47	18	31	40	81	30	2	40	47	12	10
ABCC8	2134	4581	4396	2658	1969	2414	1762	944	2396	3848	4738	1311	6308	4059	3852	592	4082	3653	2183	3078	3688	1146	1694	3132	1981	2670	3440	2117	5325	1944	1746	2327	2061	4216	2082	806	1421	3410	2661	2710	5365	4273	3200	3490	2564	1855	3443	2575	2541	1340
ABCC9	2812	4552	4454	3664	5561	3295	1371	9415	2554	3542	4604	3074	4799	2338	5546	1891	3666	4683	1989	1037	4057	3187	1919	2493	2461	3232	4714	2205	1815	3437	5303	3122	837	1431	4714	5212	4093	1593	5014	1923	2680	3320	3025	4055	2453	2579	4607	4397	5489	2028
ABCD1	0	4	222	221	4	236	0	0	0	410	206	15	0	220	205	15	208	1	1	1	237	3	2	0	47	31	441	1	30	1	2	1	206	1	16	0	1	0	411	0	2	3	0	16	4	25	0	222	16	17
ABCD2	4323	3810	4795	6669	6583	7732	2018	2300	6462	6618	7752	3739	5179	3480	6490	3431	7758	7823	7017	3984	8040	4203	3031	1939	4172	5811	9315	2847	5314	4711	6998	3559	2997	4176	8327	1761	3030	3206	5186	4704	4117	3952	2280	5096	7230	5962	4039	4506	6398	4388
ABCD4	4385	5608	5193	6663	5484	7097	5162	2352	2766	5761	10405	3540	9632	5856	9210	1363	7742	6232	4684	1609	8814	5168	2460	3648	5025	5131	9304	4751	5843	3774	6038	4075	4809	5098	8160	1630	2477	5277	4090	4870	6624	5772	3841	4177	3741	3797	5716	5382	7292	3108
ABCG1	640	383	1425	1266	808	1009	321	898	1656	678	251	1120	967	1447	476	1735	1506	1872	1315	1534	711	1349	817	1048	507	590	507	1111	1591	1803	123	1165	2283	1266	1654	413	1720	2610	710	1819	1192	1021	2109	1642	1340	1412	1224	1943	469	1338
ABCG2	8653	4447	1124	3156	8962	930	5808	19597	947	1111	184	15192	16	3900	3723	924	2785	936	2866	2770	1111	2054	2052	8788	147	16	21	5631	2218	5750	32519	8649	928	1127	515	22331	15068	4	930	11290	1876	9196	5745	2030	3604	4725	5642	6290	2	1848
ABHD1	14	186	78	90	135	78	170	175	8	110	68	27	19	99	53	5	15	19	88	5	154	67	82	77	1	43	30	135	151	41	60	127	32	69	222	100	142	50	11	51	23	179	247	199	48	69	54	84	0	10
ABHD10	2316	1777	1715	2511	3081	3392	2032	1805	2590	3563	826	2130	2890	4757	2201	859	3007	3362	2592	931	2239	2562	2779	2919	751	4928	2629	2900	2639	1834	1789	1983	2757	3403	3643	345	3124	2239	1259	2184	4071	2695	2217	3287	1476	2011	3552	3150	1162	1302
ABHD14B	91	187	626	564	682	153	687	112	967	222	587	114	73	676	572	56	88	497	203	572	168	86	674	589	33	73	110	126	180	112	300	221	118	115	179	624	224	79	527	149	89	159	805	698	42	101	209	71	91	122
ABHD15	12	18	11	15	5	16	9	0	0	15	33	6	3	2	27	13	11	26	20	20	9	9	14	2	14	14	20	16	11	0	25	16	14	0	14	0	0	2	25	0	12	5	24	0	19	21	7	6	14	2
ABHD2	5055	4992	3700	9107	8669	6305	4882	3673	3604	7473	8093	5329	7026	5348	6936	2534	7985	7794	4890	3356	5828	3795	3697	4347	7487	7198	9622	2843	5721	3455	7996	3727	3572	5807	6801	3383	4549	5525	5463	4219	5152	4243	5118	4727	4745	5745	9686	6428	6223	3405
ABHD3	1586	2150	1539	1717	1207	1575	1560	9049	1702	2798	1129	1159	1927	1144	3226	803	1162	1714	1291	949	1920	555	736	2193	1860	1800	1556	1758	1850	2321	1003	1068	641	1086	1283	4279	2671	1120	924	736	2783	1082	1027	1763	1314	702	3517	2093	949	942
ABHD5	2647	1960	4845	2414	4945	2347	4057	4186	4869	2785	4014	4943	2534	1792	2382	6756	3934	6242	5210	5694	2773	1562	3688	3489	2751	1944	2183	3655	2607	3924	2905	3910	2387	6181	4487	5102	4596	4926	3329	5566	3972	4273	2777	4206	4732	3330	5071	5350	3279	4112
ABI3	0	1	0	34	17	0	0	51	0	0	17	17	0	0	17	0	1	0	0	0	0	0	34	0	51	0	0	0	17	0	1	0	0	0	0	102	17	0	0	17	0	0	17	0	0	5	34	17	0	0
ABL2	4676	8271	4461	6054	7622	4993	7247	6986	3163	5742	5090	8537	9994	5399	8734	3545	5094	7588	6488	3164	9350	3596	4809	8408	8753	7006	8158	3895	6111	4674	12971	3323	2483	7201	10758	9400	4928	4537	4619	6699	3021	8222	14437	4865	5481	12187	8726	8107	5316	3924
ABLIM1	16672	14743	18125	20950	28102	22727	12939	37806	15697	14853	21659	23797	19954	14837	18105	10463	21275	15995	14613	7933	23007	13397	19936	16541	23482	15939	23160	15155	14531	16851	18911	16248	13868	21256	20523	22406	20229	13006	23292	22111	21602	17145	12686	19766	18478	14757	17800	23595	17555	13325
ABLIM2	433	670	499	1056	679	581	1029	690	376	468	286	473	892	612	186	609	323	514	935	1064	415	861	677	378	449	507	534	725	460	672	262	585	544	903	1105	740	458	442	463	627	836	869	382	450	614	247	425	664	613	529
ABLIM3	1260	695	867	771	2291	735	1645	3806	844	1233	880	2393	583	1191	755	1060	678	684	1274	610	922	1378	1566	1285	1486	910	659	1272	784	1831	3247	1961	1039	1000	1240	2851	1585	587	1366	1293	1375	2230	725	976	1327	978	1546	1062	895	295
ABO	34	26	26	0	47	21	4	47	0	8	16	55	8	26	2	8	21	0	2	0	42	17	68	73	8	25	57	0	0	47	96	2	4	0	0	188	282	2	49	94	2	0	28	0	130	32	104	17	24	19
ABR	5146	10181	5982	7723	11075	3646	4781	10199	4059	7628	7027	4646	10027	8465	5979	2480	7939	7704	5814	2958	5421	4588	10912	8792	8478	6448	7215	8532	7042	4977	3069	6561	7070	6467	8605	10452	7276	2986	5136	7874	6740	8496	4459	8389	7206	4475	5137	7803	12186	3700
ABTB2	91	106	354	73	76	299	115	38	154	397	87	440	232	250	99	89	268	88	104	132	313	124	215	70	45	302	80	131	133	290	49	204	184	403	298	277	157	248	121	203	588	699	545	620	102	232	143	330	78	45
ACAA2	2933	4575	8082	4457	2888	6910	2198	10114	4694	6942	9778	3314	4130	1915	6959	4013	3758	5255	3564	1609	6803	4685	1216	2299	1575	7041	10375	2176	2403	5567	5549	4731	3343	7366	6937	4803	4145	1960	5335	1280	2923	2268	3445	2785	5564	2240	4641	3064	3096	4647
ACACA	6252	8854	6685	11223	11396	9019	10582	2963	6222	9151	7655	5907	10662	10524	7484	5701	9382	8435	8692	4645	8335	10136	7069	5460	11438	8491	11000	7285	11116	4262	8104	8423	8739	10938	10363	2415	5013	10400	8641	7523	7898	9427	7627	8697	8399	6350	11633	12059	8756	7786
ACACB	2955	4263	3693	6721	2929	4265	2440	315	667	1698	7071	1315	5311	1857	4730	1395	3788	2242	2224	506	3886	1200	1733	1883	2809	2678	5946	1197	2350	1451	3662	3851	560	2138	4890	350	980	2249	2408	3385	1746	3464	2256	5332	2975	3388	2747	1805	3480	2734
ACADM	7171	7012	8481	7588	8518	9095	9564	10758	11525	8539	13665	9195	7087	6924	10891	7955	11749	9140	9099	8449	11152	10139	6642	10772	8698	8201	9884	8409	6081	10790	8817	10958	7168	9311	8727	8574	7883	11349	6892	6306	7334	8523	9167	11461	9248	9308	8005	7669	8583	9090
ACADS	4	16	1	2	3	8	9	366	3	14	4	726	2	2	6	3	6	7	4	3	7	3	246	7	487	18	124	13	6	3	0	12	6	124	13	1331	606	4	124	125	248	7	7	23	135	9	242	9	3	3
ACADVL	5128	6158	8485	6354	7302	10019	3990	2115	3546	8194	9446	3280	4452	4202	4864	4243	7429	6050	6794	1477	10797	5741	3395	4243	2133	8008	9861	2464	3260	3049	8343	3841	2819	3958	6909	3687	4014	4740	6438	4517	6987	5567	2772	4673	10598	2602	3368	6632	9522	2768
