	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20	Sample21	Sample22	Sample23	Sample24	Sample25	Sample26	Sample27	Sample28	Sample29	Sample30	Sample31	Sample32	Sample33	Sample34	Sample35	Sample36	Sample37	Sample38	Sample39	Sample40	Sample41	Sample42	Sample43	Sample44	Sample45	Sample46	Sample47	Sample48	Sample49	Sample50
AACS	1072.22222222222	1347.22222222222	1367.22222222222	2101.66666666667	1711.66666666667	594.444444444444	817.777777777778	2299.44444444444	1246.11111111111	2212.22222222222	2563.88888888889	1358.33333333333	545.555555555556	1589.44444444444	2052.77777777778	1713.88888888889	413.333333333333	1740	1262.77777777778	1172.77777777778	1489.44444444444	2272.22222222222	850	1732.77777777778	1280.55555555556	476.666666666667	1113.88888888889	871.666666666667	1983.88888888889	403.333333333333	1306.11111111111	1090	1144.44444444444	1360.55555555556	2065.55555555556	1461.11111111111	1385	878.333333333333	1794.44444444444	887.222222222222	890.555555555556	527.222222222222	853.888888888889	1354.44444444444	3483.88888888889	1393.88888888889	1115.55555555556	1793.33333333333	2295	1130.55555555556
AADAT	721.111111111111	2101.11111111111	1064.44444444444	841.111111111111	438.333333333333	557.222222222222	577.777777777778	692.777777777778	875.555555555556	963.333333333333	931.111111111111	412.222222222222	1565	1134.44444444444	870	1250.55555555556	1999.44444444444	705	652.777777777778	1496.11111111111	635	447.777777777778	732.777777777778	1257.77777777778	1263.33333333333	1000	958.333333333333	1628.88888888889	720	520	1973.88888888889	913.333333333333	1039.44444444444	1236.66666666667	1351.11111111111	351.666666666667	316.666666666667	659.444444444444	699.444444444444	678.333333333333	286.111111111111	842.222222222222	1623.33333333333	1225.55555555556	2468.88888888889	1147.22222222222	629.444444444444	1158.33333333333	1012.77777777778	1138.88888888889
AAK1	6780.55555555556	8926.66666666667	7698.88888888889	5474.44444444444	9883.88888888889	4939.44444444444	9220.55555555556	12467.7777777778	7347.22222222222	7935	4092.77777777778	9195.55555555555	3963.33333333333	9491.66666666667	5338.33333333333	7372.22222222222	6703.33333333333	9115	5089.44444444444	5726.11111111111	7892.77777777778	7972.22222222222	8170	6722.77777777778	10163.3333333333	6166.11111111111	5595	8142.77777777778	7793.88888888889	7986.11111111111	11113.8888888889	6464.44444444444	7928.88888888889	6510	8124.44444444444	11621.6666666667	9913.88888888889	6222.22222222222	5692.77777777778	8425	7886.11111111111	7857.77777777778	8005.55555555556	9241.66666666667	12096.1111111111	8268.88888888889	5893.88888888889	7275	9723.33333333333	8125.55555555556
AASDH	2372.22222222222	1651.66666666667	2755.55555555556	2643.88888888889	2170.55555555556	2026.66666666667	2043.88888888889	1383.88888888889	1734.44444444444	1931.11111111111	1503.88888888889	2424.44444444444	2273.33333333333	1916.66666666667	2561.11111111111	776.666666666667	1281.11111111111	1782.22222222222	1118.33333333333	1530	1541.66666666667	2418.88888888889	1056.66666666667	2450.55555555556	1710.55555555556	2751.11111111111	1901.66666666667	1665.55555555556	2453.88888888889	1272.22222222222	1687.22222222222	3314.44444444444	1346.66666666667	1331.11111111111	1676.66666666667	1203.88888888889	2393.88888888889	1810	2403.33333333333	995	2518.33333333333	3044.44444444444	1511.11111111111	2706.11111111111	3497.77777777778	2200	2509.44444444444	1541.66666666667	3160.55555555556	1610.55555555556
AASS	20075.5555555556	29001.6666666667	31224.4444444444	39645	32216.1111111111	22883.8888888889	22765	12659.4444444444	18562.7777777778	35664.4444444444	24810	26713.8888888889	32628.3333333333	15100	19367.7777777778	17051.1111111111	27736.1111111111	31852.7777777778	15835.5555555556	23036.1111111111	28071.6666666667	10867.2222222222	13688.3333333333	14464.4444444444	23865	24467.2222222222	33338.3333333333	10662.2222222222	22990.5555555556	14226.6666666667	25245.5555555556	22114.4444444444	19927.7777777778	14890	26988.8888888889	13408.8888888889	13192.7777777778	23589.4444444444	38101.1111111111	19752.7777777778	15852.7777777778	14783.3333333333	15031.6666666667	9854.44444444444	19133.8888888889	25710.5555555556	23502.2222222222	21161.1111111111	32600.5555555556	22294.4444444444
AATK	525	420.555555555556	692.777777777778	977.777777777778	767.777777777778	720	432.222222222222	769.444444444444	592.222222222222	1498.33333333333	2251.11111111111	503.333333333333	422.222222222222	538.888888888889	795	961.111111111111	844.444444444444	1224.44444444444	766.111111111111	847.222222222222	636.111111111111	938.888888888889	704.444444444444	1061.11111111111	797.222222222222	850.555555555556	780.555555555556	541.111111111111	453.333333333333	713.333333333333	653.888888888889	606.111111111111	361.666666666667	667.777777777778	407.777777777778	397.222222222222	651.111111111111	500	958.888888888889	537.777777777778	637.222222222222	307.777777777778	324.444444444444	341.666666666667	711.666666666667	828.333333333333	723.888888888889	373.333333333333	723.333333333333	1283.33333333333
ABCA2	106.111111111111	84.4444444444444	105	60.5555555555556	63.3333333333333	227.777777777778	105.555555555556	61.6666666666667	61.1111111111111	150	103.888888888889	40	76.6666666666667	161.666666666667	82.2222222222222	72.2222222222222	88.8888888888889	91.1111111111111	97.7777777777778	110	61.6666666666667	145.555555555556	146.666666666667	211.666666666667	53.3333333333333	185.555555555556	36.6666666666667	46.1111111111111	238.333333333333	197.777777777778	49.4444444444444	146.111111111111	78.8888888888889	115.555555555556	59.4444444444444	15	126.666666666667	207.222222222222	93.8888888888889	76.1111111111111	204.444444444444	98.3333333333333	99.4444444444444	161.111111111111	162.222222222222	98.3333333333333	53.8888888888889	132.222222222222	117.777777777778	135.555555555556
ABCA4	7.77777777777778	318.888888888889	89.4444444444444	74.4444444444444	40	75	52.7777777777778	50.5555555555556	347.777777777778	50	16.6666666666667	37.2222222222222	83.8888888888889	29.4444444444444	304.444444444444	10	75.5555555555556	77.7777777777778	57.7777777777778	14.4444444444444	58.8888888888889	75.5555555555556	323.333333333333	96.6666666666667	68.3333333333333	60.5555555555556	44.4444444444444	54.4444444444444	38.8888888888889	0	5.55555555555556	16.6666666666667	621.111111111111	288.888888888889	105.555555555556	50	23.8888888888889	331.666666666667	371.666666666667	40	342.777777777778	22.2222222222222	73.8888888888889	0	581.666666666667	39.4444444444444	50	52.7777777777778	50.5555555555556	43.3333333333333
ABCA8	1001.11111111111	543.888888888889	916.666666666667	2643.88888888889	1318.33333333333	1486.66666666667	2288.88888888889	1940	608.333333333333	2087.22222222222	4317.77777777778	593.888888888889	1106.66666666667	1196.66666666667	938.333333333333	6131.66666666667	818.333333333333	3124.44444444444	2148.88888888889	4734.44444444444	1130	2372.22222222222	1457.77777777778	2233.33333333333	1757.77777777778	1242.77777777778	2025	2133.88888888889	587.777777777778	3129.44444444444	1217.77777777778	2978.33333333333	686.111111111111	1756.66666666667	668.888888888889	327.222222222222	1631.11111111111	701.666666666667	1320	1441.66666666667	1390	491.666666666667	632.777777777778	381.111111111111	965	1468.33333333333	745.555555555556	747.222222222222	2826.66666666667	3288.33333333333
ABCB1	1241.66666666667	370	347.222222222222	1224.44444444444	4140.55555555556	686.666666666667	265	4113.88888888889	648.333333333333	1479.44444444444	843.888888888889	3650	661.111111111111	675	1013.88888888889	830.555555555556	738.333333333333	270.555555555556	725	286.666666666667	447.777777777778	256.111111111111	1101.11111111111	775	4062.22222222222	155	715	730.555555555556	489.444444444444	3640.55555555556	2155	327.222222222222	293.888888888889	739.444444444444	1666.11111111111	6526.66666666667	2964.44444444444	508.333333333333	349.444444444444	4018.33333333333	28.8888888888889	227.222222222222	368.333333333333	520.555555555556	2476.66666666667	1166.11111111111	1946.11111111111	1652.77777777778	696.666666666667	143.333333333333
