	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20	Sample21	Sample22	Sample23	Sample24	Sample25	Sample26	Sample27	Sample28	Sample29	Sample30	Sample31	Sample32	Sample33	Sample34	Sample35	Sample36	Sample37	Sample38	Sample39	Sample40	Sample41	Sample42	Sample43	Sample44	Sample45	Sample46	Sample47	Sample48	Sample49	Sample50
1/2-SBSRNA4	269	844	0	800	130	187	506	1815	8	1685	1441	2101	128	178	28	418	150	2037	2094	616	139	2669	24	2172	32	1998	12	318	191	25	1515	32	1481	1157	2243	24	2151	133	1975	16	1962	174	529	20	2629	897	1940	52	1932	2173
A1BG	735	356	0	642	723	473	1194	171	746	54	32	451	611	385	1122	609	1	97	79	338	665	106	1492	28	1563	34	683	295	301	504	611	358	184	22	83	1682	98	422	204	627	49	877	1140	1385	74	79	13	243	68	99
A1BG-AS1	90	26	0	34	90	90	45	57	0	61	6	9	41	183	0	1	0	57	15	2	0	53	0	71	0	45	0	91	45	225	17	90	75	0	69	0	46	135	6	0	124	86	0	0	59	25	91	0	18	60
A2LD1	815	268	0	281	653	463	518	635	0	701	508	386	17	463	0	753	35	784	743	196	570	664	0	696	0	761	0	687	579	523	360	636	633	390	667	0	651	613	469	0	527	534	281	0	687	395	579	218	646	729
A2M	38	179	10	431	23	2	130	898	11	737	1500	717	72	39	11	424	55	1201	713	296	22	701	16	1270	11	912	16	233	33	33	663	19	756	657	1067	33	1078	39	783	15	1042	16	67	17	900	732	743	43	677	808
A2ML1	4373	0	95	171	3547	4372	3224	1419	0	0	0	0	47	3759	0	2078	223	46	0	0	3179	0	0	0	0	0	0	2887	4319	2850	0	2264	0	60	0	0	0	3771	0	0	0	2846	5011	0	12	36	0	939	0	0
A2MP1	0	26	0	24	0	0	0	49	0	76	83	77	0	0	0	5	0	33	101	26	0	3	0	107	0	60	0	0	0	0	26	0	53	6	56	0	107	0	81	0	26	0	0	0	102	0	57	0	56	27
AA06	0	24	0	86	0	0	93	84	0	144	83	173	12	0	0	46	36	154	106	44	0	225	0	188	0	180	0	75	0	0	74	0	196	203	166	0	236	0	155	0	170	0	77	0	236	113	262	0	181	340
AAA1	0	6	0	6	0	0	6	57	0	0	6	0	45	0	0	0	45	153	45	0	0	96	0	12	0	45	0	0	0	0	12	0	51	96	6	0	51	0	45	0	51	0	0	0	45	12	6	0	6	0
AAAS	930	47	84	65	618	624	428	120	40	67	36	33	50	814	27	623	42	52	39	29	520	52	11	79	14	18	14	337	640	773	68	374	37	129	47	24	18	790	26	46	11	857	500	42	55	36	34	176	38	78
AACS	998	2007	590	3965	467	481	2957	8810	523	14928	10957	12193	1217	1137	651	1975	1894	11798	15791	3188	393	12645	339	12533	804	8474	368	1042	386	520	6256	462	8335	10760	15061	642	11185	765	10397	241	13011	1039	1598	653	13634	8102	10525	619	11985	13114
AACSP1	586	24	0	205	1317	905	1502	284	0	596	203	267	2	3079	0	2090	18	454	563	175	458	292	0	273	0	263	0	1107	576	1851	170	3079	564	168	825	0	433	2527	293	0	411	1103	2724	0	457	296	411	2326	314	975
AADACL2	8	23	0	72	0	0	56	78	0	23	92	200	1	0	0	30	2	125	110	81	0	251	0	130	0	229	0	111	0	0	145	0	134	41	259	0	114	0	93	0	121	2	49	0	212	74	216	0	104	233
AADACL4	0	3	0	6	0	0	1	34	0	8	55	14	0	0	0	0	0	36	31	22	0	2	0	15	0	32	0	26	0	0	27	0	12	41	49	0	12	0	40	0	12	0	0	0	28	10	25	0	16	27
