	astrocytes	endothelial	microglia	neurons	oligodendrocytes
1	0.96	0	0	0.04	0
2	0	0	0.313131313131313	0.272727272727273	0.414141414141414
3	0	1	0	0	0
4	0.1	0	0	0.39	0.51
5	1	0	0	0	0
6	0.99	0	0	0	0.01
7	0.73	0	0	0.27	0
8	0.22	0	0	0.78	0
9	0	0	0	0	1
10	0	0	0.06	0.94	0
11	0	0	0	1	0
12	0	0	0	0.78	0.22
13	0	0.1	0	0.06	0.84
14	0.93	0	0	0.06	0.01
15	0	0	0	0	1
16	0.81	0	0	0.19	0
17	0	0.93	0	0.07	0
18	0.02	0	0	0.98	0
19	0	0	0	1	0
20	0	0	0.465346534653465	0.227722772277228	0.306930693069307
21	1	0	0	0	0
22	0	0	0	1	0
23	0	0	0	0	1
24	0	0	0	1	0
25	0	0	0	0	1
26	0	0	0	1	0
27	0	0	0	0	1
28	0.9	0	0	0.1	0
29	1	0	0	0	0
30	1	0	0	0	0
31	0	0	0	0.64	0.36
32	0.95	0.05	0	0	0
33	0	0	0	0.82	0.18
34	0	0.38	0	0.62	0
35	0	0	0	1	0
36	0	0	0	0	1
37	0	0	0	1	0
38	0.99	0	0	0.01	0
39	0	0	0	0.88	0.12
40	0	0	0	0	1
41	0	0	0	1	0
42	0.96969696969697	0	0	0.0202020202020202	0.0101010101010101
43	0.9	0	0	0.1	0
44	0	0	0	0	1
45	0	0.1	0	0.9	0
46	0	0.606060606060606	0	0.393939393939394	0
47	0	0	0	1	0
48	0.444444444444444	0.555555555555556	0	0	0
49	0	0	0	1	0
50	0	0	0	1	0
