	beta	alpha	delta	gamma
1	0.24	0.08	0.68	0
2	0.99	0.01	0	0
3	1	0	0	0
4	0.82	0.07	0.11	0
5	0.87	0.11	0	0.02
6	0.792079207920792	0.188118811881188	0.0198019801980198	0
7	0.6	0.4	0	0
8	0.0202020202020202	0	0	0.97979797979798
9	0.99	0	0.01	0
10	0.75	0.21	0	0.04
11	0.92	0.04	0.02	0.02
12	0.99	0.01	0	0
13	0.31	0.61	0.05	0.03
14	0.81	0.19	0	0
15	0.47	0.53	0	0
16	0.87	0	0	0.13
17	0.84	0.15	0	0.01
18	0.38	0.62	0	0
19	1	0	0	0
20	0.65	0.31	0.04	0
21	0.07	0.93	0	0
22	0.6	0.4	0	0
23	0.2	0.37	0.43	0
24	0	0.99	0	0.01
25	0.06	0.8	0.14	0
26	0.95	0.05	0	0
27	0.92	0.06	0	0.02
28	0.6	0	0.4	0
29	0.22	0.32	0.45	0.01
30	0.44	0.19	0	0.37
31	0.99	0.01	0	0
32	0.13	0.46	0.41	0
33	0.03	0.6	0.37	0
34	0.89	0	0.11	0
35	0.87	0.13	0	0
36	0.03	0.91	0.06	0
37	0.01	0.99	0	0
38	0.525252525252525	0.474747474747475	0	0
39	0.92	0.08	0	0
40	0.464646464646465	0.535353535353535	0	0
41	0.01	0.87	0.12	0
42	0.62	0.38	0	0
43	0	0.52	0.48	0
44	0.36	0.08	0	0.56
45	0.26	0.73	0.01	0
46	0.24	0.17	0.01	0.58
47	0.93	0.05	0.02	0
48	0.52	0.39	0.09	0
49	0.96	0	0	0.04
50	0.58	0.42	0	0
51	0.86	0.02	0.12	0
52	0.171717171717172	0.727272727272727	0.101010101010101	0
53	0.86	0.14	0	0
54	0.93	0.07	0	0
55	0.59	0.1	0.22	0.09
56	0.353535353535354	0.646464646464647	0	0
57	0.108910891089109	0.782178217821782	0.108910891089109	0
58	0.01	0.87	0.12	0
59	0.818181818181818	0.161616161616162	0.0202020202020202	0
60	0.606060606060606	0.393939393939394	0	0
61	0.55	0.28	0.16	0.01
62	0.24	0	0.01	0.75
63	0.58	0.22	0.2	0
64	0.61	0.39	0	0
65	0.41	0.59	0	0
66	0.04	0	0	0.96
67	0.19	0.76	0.04	0.01
68	1	0	0	0
69	0.93	0.07	0	0
70	0.36	0.64	0	0
71	0.38	0.62	0	0
72	0.267326732673267	0.287128712871287	0.445544554455446	0
73	0	0.52	0.48	0
74	0.47	0.53	0	0
75	0.61	0.39	0	0
76	0.81	0.19	0	0
77	0.12	0.88	0	0
78	0.79	0.21	0	0
79	0.53	0.47	0	0
80	0.636363636363636	0.323232323232323	0.0404040404040404	0
81	0.82	0.18	0	0
82	0.11	0.84	0.05	0
83	0.97	0.01	0	0.02
84	0.84	0.16	0	0
85	0.525252525252525	0	0	0.474747474747475
86	0.56	0.06	0.38	0
87	0.71	0.24	0.05	0
88	0.161616161616162	0.0202020202020202	0.818181818181818	0
89	0.13	0.84	0.03	0
90	1	0	0	0
91	0.77	0.23	0	0
92	0.0099009900990099	0.97029702970297	0	0.0198019801980198
93	0.14	0.86	0	0
94	0.43	0.09	0.48	0
95	0.39	0.57	0.04	0
96	0.4	0.58	0.02	0
97	0.888888888888889	0.0808080808080808	0.0202020202020202	0.0101010101010101
98	0.56	0.44	0	0
99	0.445544554455446	0.396039603960396	0.158415841584158	0
100	0	0.0101010101010101	0	0.98989898989899
