	Bcells	Tcells	NKcells	Macrophages	Dendriticcells	Mastcells
1	0.28	0.34	0.2	0.18	0	0
2	0	0.74	0.16	0.1	0	0
3	0	0.94	0	0	0.06	0
4	0.01	0.98	0	0	0	0.01
5	0.78	0.22	0	0	0	0
6	0.485148514851485	0.227722772277228	0.118811881188119	0.0198019801980198	0.138613861386139	0.0099009900990099
7	0.444444444444444	0.404040404040404	0	0	0.0808080808080808	0.0707070707070707
8	0.787878787878788	0.202020202020202	0	0	0.0101010101010101	0
9	0	0.58	0	0.09	0.33	0
10	0	0.01	0	0	0	0.99
11	0	0.11	0.76	0.03	0	0.1
12	0	0.81	0.02	0	0	0.17
13	0	0.61	0	0.39	0	0
14	0.8	0	0	0	0.2	0
15	0	0.21	0	0	0	0.79
16	0.717171717171717	0	0	0.0909090909090909	0	0.191919191919192
17	0	0.02	0	0	0.49	0.49
18	0.02	0.15	0	0.83	0	0
19	0	1	0	0	0	0
20	0.09	0.85	0	0	0	0.06
21	0.455445544554455	0.0495049504950495	0	0.0198019801980198	0.475247524752475	0
22	0	1	0	0	0	0
23	0	1	0	0	0	0
24	0.11	0.87	0	0.02	0	0
25	0	0.0198019801980198	0	0	0.881188118811881	0.099009900990099
26	0	0.98	0	0.02	0	0
27	0	0	0	0.303030303030303	0.252525252525253	0.444444444444444
28	0.96	0.01	0	0.03	0	0
29	0.98	0.02	0	0	0	0
30	0.39	0.19	0	0.03	0.39	0
31	0	1	0	0	0	0
32	0.38	0.28	0	0.32	0	0.02
33	0	0	0.05	0	0.95	0
34	0.03	0.92	0	0	0.05	0
35	0	0.99	0	0	0	0.01
36	0	0.0909090909090909	0.838383838383838	0.0606060606060606	0	0.0101010101010101
37	0.01	0.99	0	0	0	0
38	0.636363636363636	0.0101010101010101	0	0.323232323232323	0.0303030303030303	0
39	0	0.18	0	0.43	0	0.39
40	0	0.59	0	0.41	0	0
41	0	1	0	0	0	0
42	0.01	0.99	0	0	0	0
43	0.99	0.01	0	0	0	0
44	0	0.71	0	0.29	0	0
45	0	0.98	0	0.01	0	0.01
46	0	0.33	0	0.65	0	0.02
47	0	0.95959595959596	0.0101010101010101	0.0303030303030303	0	0
48	0.05	0.14	0.69	0.11	0	0.01
49	0	1	0	0	0	0
50	0	0.97	0	0.03	0	0
