	Bcells	Tcells	NKcells	Macrophages	Dendriticcells
1	0.28	0.34	0.2	0.18	0
2	0	0.74	0.16	0.1	0
3	0	0.94	0	0	0.06
4	0.01	0.99	0	0	0
5	0.78	0.22	0	0	0
6	0.49	0.23	0.12	0.02	0.14
7	0.474747474747475	0.434343434343434	0	0	0.0909090909090909
8	0.787878787878788	0.202020202020202	0	0	0.0101010101010101
9	0	0.58	0	0.09	0.33
10	0	0.98	0	0.02	0
11	0	0.13	0.84	0.03	0
12	0	0.97	0.03	0	0
13	0	0.61	0	0.39	0
14	0.8	0	0	0	0.2
15	0	0.99	0	0.01	0
16	0.88	0	0	0.12	0
17	0.01	0.03	0	0	0.96
18	0.02	0.15	0	0.83	0
19	0	1	0	0	0
20	0.1	0.9	0	0	0
21	0.455445544554455	0.0495049504950495	0	0.0198019801980198	0.475247524752475
22	0	1	0	0	0
23	0	1	0	0	0
24	0.11	0.87	0	0.02	0
25	0	0.02	0	0	0.98
26	0	0.98	0	0.02	0
27	0	0	0	0.54	0.46
28	0.96	0.01	0	0.03	0
29	0.98	0.02	0	0	0
30	0.39	0.19	0	0.03	0.39
31	0	1	0	0	0
32	0.39	0.28	0	0.33	0
33	0	0	0.05	0	0.95
34	0.03	0.92	0	0	0.05
35	0	1	0	0	0
36	0	0.1	0.84	0.06	0
37	0.01	0.99	0	0	0
38	0.636363636363636	0.0101010101010101	0	0.323232323232323	0.0303030303030303
39	0	0.29	0	0.71	0
40	0	0.59	0	0.41	0
41	0	1	0	0	0
42	0.01	0.99	0	0	0
43	0.99	0.01	0	0	0
44	0	0.71	0	0.29	0
45	0	0.99	0	0.01	0
46	0	0.34	0	0.66	0
47	0	0.95959595959596	0.0101010101010101	0.0303030303030303	0
48	0.05	0.15	0.69	0.11	0
49	0	1	0	0	0
50	0	0.97	0	0.03	0
