	Bcells	Tcells	NKcells	Macrophages	Dendriticcells
1	0.26	0.56	0.04	0.07	0.07
2	0.08	0.76	0	0.16	0
3	0.0404040404040404	0.696969696969697	0.0101010101010101	0.141414141414141	0.111111111111111
4	0.435643564356436	0.445544554455446	0	0.0891089108910891	0.0297029702970297
5	0.28	0.56	0.11	0.05	0
6	0.22	0.57	0.04	0.11	0.06
7	0.56	0.31	0.07	0.06	0
8	0.3	0.39	0.04	0.23	0.04
9	0.0909090909090909	0.363636363636364	0.0101010101010101	0.535353535353535	0
10	0.68	0.27	0	0.01	0.04
11	0.0303030303030303	0.797979797979798	0.0606060606060606	0.101010101010101	0.0101010101010101
12	0.05	0.82	0.03	0.05	0.05
13	0.121212121212121	0.696969696969697	0.0202020202020202	0.151515151515152	0.0101010101010101
14	0.383838383838384	0.262626262626263	0.141414141414141	0.0101010101010101	0.202020202020202
15	0.05	0.53	0.12	0.3	0
16	0.316831683168317	0.267326732673267	0.128712871287129	0.277227722772277	0.0099009900990099
17	0.54	0.2	0	0.24	0.02
18	0.26	0.36	0.02	0.14	0.22
19	0.686868686868687	0.181818181818182	0.101010101010101	0	0.0303030303030303
20	0.25	0.46	0	0.06	0.23
21	0.01	0.32	0.21	0.24	0.22
22	0.0204081632653061	0.540816326530612	0.204081632653061	0.224489795918367	0.0102040816326531
23	0.29	0.64	0.02	0.05	0
24	0.32	0.18	0.08	0.22	0.2
25	0.36	0.14	0.09	0.13	0.28
26	0.06	0.47	0.05	0.28	0.14
27	0.0606060606060606	0.555555555555556	0.0303030303030303	0.303030303030303	0.0505050505050505
28	0.06	0.63	0	0.18	0.13
29	0.3	0.46	0.02	0.2	0.02
30	0.0297029702970297	0.722772277227723	0.0099009900990099	0.178217821782178	0.0594059405940594
31	0.24	0.35	0.28	0.07	0.06
32	0.0198019801980198	0.475247524752475	0.396039603960396	0.0891089108910891	0.0198019801980198
33	0.03	0.6	0	0.22	0.15
34	0.1	0.46	0.25	0.1	0.09
35	0.03	0.45	0.46	0.02	0.04
36	0.02	0.42	0.06	0.4	0.1
37	0.252525252525253	0.464646464646465	0.0909090909090909	0.0202020202020202	0.171717171717172
38	0.353535353535354	0.131313131313131	0.111111111111111	0.161616161616162	0.242424242424242
39	0.1	0.23	0.18	0.49	0
40	0.3	0.38	0.03	0.21	0.08
41	0.03	0.56	0.11	0.12	0.18
42	0.222222222222222	0.555555555555556	0.0303030303030303	0.191919191919192	0
43	0.19	0.41	0.31	0.09	0
44	0.0606060606060606	0.515151515151515	0.0505050505050505	0.171717171717172	0.202020202020202
45	0.01	0.59	0.08	0.24	0.08
46	0.01	0.66	0	0.31	0.02
47	0.131313131313131	0.696969696969697	0.0707070707070707	0.0909090909090909	0.0101010101010101
48	0.575757575757576	0.313131313131313	0.0303030303030303	0.0606060606060606	0.0202020202020202
49	0.04	0.59	0.08	0.26	0.03
50	0.118811881188119	0.564356435643564	0.0099009900990099	0.277227722772277	0.0297029702970297
